anchor,cohort,outcome,event_time,att,se,ci_low,ci_high,spec_id
EU,2004,efw_overall,-2,-0.042577778022381274,0.2948088273433452,-0.6204030796153378,0.5352475235705753,scm
EU,2004,efw_overall,-1,0.03075899763031842,0.2948088273433452,-0.5470663039626381,0.608584299223275,scm
EU,2004,efw_overall,0,0.3365162163851325,0.2948088273433452,-0.24130908520782401,0.914341517978089,scm
EU,2004,efw_overall,1,0.3244842930936329,0.2948088273433452,-0.2533410084993236,0.9023095946865894,scm
EU,2004,efw_overall,2,0.24675115387751578,0.2948088273433452,-0.33107414771544075,0.8245764554704723,scm
EU,2004,efw_delta5,-2,-0.045547548729971465,0.11260801118853632,-0.2662592506595026,0.17516415319955972,scm
EU,2004,efw_delta5,-1,0.3456255168340351,0.11260801118853632,0.1249138149045039,0.5663372187635662,scm
EU,2004,efw_delta5,0,-0.03606438275246743,0.11260801118853632,-0.25677608468199864,0.18464731917706376,scm
EU,2004,efw_delta5,1,0.04091878322503617,0.11260801118853632,-0.17979291870449501,0.2616304851545673,scm
EU,2004,efw_delta5,2,0.03540401653867935,0.11260801118853632,-0.18530768539085185,0.2561157184682105,scm
EU,2004,reform_event_03,-2,-2.214172742986964e-6,0.13196788379254953,-0.25865926640614006,0.2586548380606541,scm
EU,2004,reform_event_03,-1,1.3285174802479816e-6,0.13196788379254953,-0.25865572371591683,0.2586583807508773,scm
EU,2004,reform_event_03,0,0.4560224510708428,0.13196788379254953,0.19736539883744575,0.7146795033042399,scm
EU,2004,reform_event_03,1,0.3443890217468949,0.13196788379254953,0.08573196951349782,0.603046073980292,scm
EU,2004,reform_event_03,2,-0.005607656994133922,0.13196788379254953,-0.264264709227531,0.2530493952392632,scm
EU,2004,reversal_event_03,-2,-1.249999999999375e-13,1.5504901092419916e-14,-1.5538960614108053e-13,-9.461039385879446e-14,scm
EU,2004,reversal_event_03,-1,0,1.5504901092419916e-14,-3.0389606141143036e-14,3.0389606141143036e-14,scm
EU,2004,reversal_event_03,0,0,1.5504901092419916e-14,-3.0389606141143036e-14,3.0389606141143036e-14,scm
EU,2004,reversal_event_03,1,0,1.5504901092419916e-14,-3.0389606141143036e-14,3.0389606141143036e-14,scm
EU,2004,reversal_event_03,2,0,1.5504901092419916e-14,-3.0389606141143036e-14,3.0389606141143036e-14,scm
EU,2004,hazard_rev_03,-2,0,0.08092924956785383,-0.1586213291529935,0.1586213291529935,scm
EU,2004,hazard_rev_03,-1,-1.4015151515143655e-13,0.08092924956785383,-0.15862132915313365,0.15862132915285337,scm
EU,2004,hazard_rev_03,0,0.1,0.08092924956785383,-0.05862132915299351,0.2586213291529935,scm
EU,2004,hazard_rev_03,1,-1.4015151515143655e-13,0.08092924956785383,-0.15862132915313365,0.15862132915285337,scm
EU,2004,hazard_rev_03,2,0.4,0.08092924956785383,0.2413786708470065,0.5586213291529936,scm
EU,2004,delta5_log_tfp,-2,-2.7989350337431773e-8,0.026275444808787,-0.051499899814572855,0.05149984383587218,scm
EU,2004,delta5_log_tfp,-1,-5.850823818764894e-7,0.026275444808787,-0.051500456907604394,0.05149928674284064,scm
EU,2004,delta5_log_tfp,0,0.015931501120924937,0.026275444808787,-0.03556837070429758,0.06743137294614746,scm
EU,2004,delta5_log_tfp,1,0.06556833038260915,0.026275444808787,0.014068458557386629,0.11706820220783166,scm
EU,2004,delta5_log_tfp,2,0.07238997742769968,0.026275444808787,0.020890105602477158,0.1238898492529222,scm
EU,2004,delta5_inv_share_gdp,-2,-1.1712914893768911e-5,0.5171487757389184,-1.0136233133631738,1.0135998875333863,scm
EU,2004,delta5_inv_share_gdp,-1,-2.3831974183541327e-6,0.5171487757389184,-1.0136139836456983,1.0136092172508617,scm
EU,2004,delta5_inv_share_gdp,0,-2.8480313941322457,0.5171487757389184,-3.8616429945805257,-1.8344197936839657,scm
EU,2004,delta5_inv_share_gdp,1,-0.12821628288511877,0.5171487757389184,-1.1418278833333988,0.8853953175631613,scm
EU,2004,delta5_inv_share_gdp,2,0.9262477401161655,0.5171487757389184,-0.08736386033211452,1.9398593405644455,scm
EU,2004,delta5_inflation_cpi,-2,205.56778109362122,3.0605985543230596,199.56900792714802,211.56655426009442,scm
EU,2004,delta5_inflation_cpi,-1,-207.55063637968772,3.0605985543230596,-213.54940954616092,-201.55186321321452,scm
EU,2004,delta5_inflation_cpi,0,3.339190900065649,3.0605985543230596,-2.659582266407548,9.337964066538845,scm
EU,2004,delta5_inflation_cpi,1,-0.09803849259968533,3.0605985543230596,-6.096811659072882,5.900734673873512,scm
EU,2004,delta5_inflation_cpi,2,2.662647917846454,3.0605985543230596,-3.3361252486267428,8.66142108431965,scm
EU,2004,delta5_inflation_volatility,-2,99.3906939455789,4.938639014590102,89.7109614769823,109.0704264141755,scm
EU,2004,delta5_inflation_volatility,-1,-77.67503412269186,4.938639014590102,-87.35476659128845,-67.99530165409526,scm
EU,2004,delta5_inflation_volatility,0,-15.903395757663048,4.938639014590102,-25.583128226259646,-6.223663289066449,scm
EU,2004,delta5_inflation_volatility,1,6.513527708093542,4.938639014590102,-3.1662047605030574,16.193260176690142,scm
EU,2004,delta5_inflation_volatility,2,0.031153220587627997,4.938639014590102,-9.648579248008971,9.710885689184227,scm
EU,2007,efw_overall,-2,-0.24732004689334364,0.3129202562223256,-0.8606437490891018,0.3660036553024145,scm
EU,2007,efw_overall,-1,-1.2175756154747894,0.3129202562223256,-1.8308993176705477,-0.6042519132790313,scm
EU,2007,efw_overall,0,-0.82807620164124085,0.3129202562223256,-1.4413999038369991,-0.2147524994454827,scm
EU,2007,efw_overall,1,0.40088628370459034,0.3129202562223256,-0.21243741849116782,1.0142099859003486,scm
EU,2007,efw_overall,2,0.3651981242672919,0.3129202562223256,-0.24812557792846623,0.9785218264630501,scm
EU,2007,efw_delta5,-2,-4.204537328400537e-5,0.11457755104413257,-0.22461404541978383,0.22452995467321582,scm
EU,2007,efw_delta5,-1,2.1019003047302587e-5,0.11457755104413257,-0.22455098104345253,0.22459301904954712,scm
EU,2007,efw_delta5,0,0.550681896416258,0.11457755104413257,0.3261098963697582,0.7752538964627578,scm
EU,2007,efw_delta5,1,2.037782584006635,0.11457755104413257,1.8132105839601351,2.262354584053135,scm
EU,2007,efw_delta5,2,0.20003913034475976,0.11457755104413257,-0.024532869701740068,0.4246111303912596,scm
EU,2007,reform_event_03,-2,-2.4634146341439165e-13,0.17244698675960224,-0.3379960940490667,0.337996094048574,scm
EU,2007,reform_event_03,-1,0,0.17244698675960224,-0.33799609404882036,0.33799609404882036,scm
EU,2007,reform_event_03,0,0.9999999999997536,0.17244698675960224,0.6620039059509333,1.337996094048574,scm
EU,2007,reform_event_03,1,1,0.17244698675960224,0.6620039059511796,1.3379960940488203,scm
EU,2007,reform_event_03,2,0.5,0.17244698675960224,0.16200390595117964,0.8379960940488204,scm
EU,2007,reversal_event_03,-2,1.9517720772910252e-13,0.15518093455373785,-0.304154631725131,0.3041546317255214,scm
EU,2007,reversal_event_03,-1,0,0.15518093455373785,-0.3041546317253262,0.3041546317253262,scm
EU,2007,reversal_event_03,0,0,0.15518093455373785,-0.3041546317253262,0.3041546317253262,scm
EU,2007,reversal_event_03,1,-0.9999999999998048,0.15518093455373785,-1.304154631725131,-0.6958453682744786,scm
EU,2007,reversal_event_03,2,0,0.15518093455373785,-0.3041546317253262,0.3041546317253262,scm
EU,2007,hazard_rev_03,-2,5.612177389480166e-14,0.12160660046635205,-0.2383489369139939,0.23834893691410614,scm
EU,2007,hazard_rev_03,-1,-1.1219512195118188e-13,0.12160660046635205,-0.2383489369141622,0.23834893691393783,scm
EU,2007,hazard_rev_03,0,-0.4999999999999439,0.12160660046635205,-0.738348936913994,-0.26165106308589386,scm
EU,2007,hazard_rev_03,1,-1.1219512195118188e-13,0.12160660046635205,-0.2383489369141622,0.23834893691393783,scm
EU,2007,hazard_rev_03,2,0,0.12160660046635205,-0.23834893691405,0.23834893691405,scm
EU,2007,delta5_log_tfp,-2,-0.01607739071266047,0.08615956807378433,-0.18495014413727778,0.15279536271195682,scm
EU,2007,delta5_log_tfp,-1,0.003083405952801467,0.08615956807378433,-0.16578934747181584,0.17195615937741876,scm
EU,2007,delta5_log_tfp,0,-0.18715938855408587,0.08615956807378433,-0.35603214197870314,-0.01828663512946857,scm
