anchor,cohort,outcome,event_time,att,se,ci_low,ci_high,spec_id
WTO,all,reform_event_03,-40,-0.0503144654088048,0.018179925150774802,-0.08594711870432341,-0.014681812113286188,cs_base
WTO,all,reform_event_03,-35,-0.1113265424238914,0.026039025627773108,-0.1623630326543267,-0.0602900521934561,cs_base
WTO,all,reform_event_03,-30,-0.003265880577346121,0.10682518042435561,-0.2126432342090831,0.20611147305439087,cs_base
WTO,all,reform_event_03,-25,-0.016670145853877227,0.07272384109328812,-0.15920887439672193,0.1258685826889675,cs_base
WTO,all,reform_event_03,-20,-0.07856872567606252,0.07536639133630349,-0.22628685269521737,0.06914940134309233,cs_base
WTO,all,reform_event_03,-15,0.08907645516626113,0.07168578350914205,-0.05142768051165729,0.22958059084417953,cs_base
WTO,all,reform_event_03,-10,0.11450680830515736,0.10080682040214942,-0.0830745596830555,0.3120881762933702,cs_base
WTO,all,reform_event_03,-5,0.0018466939890908717,0.11076916043826612,-0.21526086046991072,0.21895424844809247,cs_base
WTO,all,reform_event_03,0,-0.05054088866162995,0.09623815737133934,-0.23916767710945505,0.13808589978619515,cs_base
WTO,all,reform_event_03,5,-0.09688264626701579,0.1322516080454788,-0.3560957980361542,0.16233050550212266,cs_base
WTO,all,reform_event_03,10,0.010884693327968403,0.11951462249293161,-0.22336396675817755,0.24513335341411435,cs_base
WTO,all,reform_event_03,15,0.28106312292358804,0.1461912341583339,-0.005471696026746409,0.5675979418739225,cs_base
WTO,all,reform_event_03,20,-0.07044152342433438,0.12439956100224235,-0.31426466298872935,0.17338161614006062,cs_base
WTO,all,reform_event_03,25,0.06831395348837237,0.11831943154405387,-0.1635921323379732,0.30022003931471797,cs_base
WTO,all,reversal_event_03,-40,-0.3270440251572326,0.04087550912932239,-0.4071600230507045,-0.24692802726376067,cs_base
WTO,all,reversal_event_03,-35,0.052320870471119565,0.07718015509098494,-0.09895223350721093,0.20359397444945004,cs_base
WTO,all,reversal_event_03,-30,-0.08115589411167601,0.055101868516782844,-0.18915555640457038,0.026843768181218364,cs_base
