anchor,cohort,outcome,event_time,att,se,ci_low,ci_high,spec_id
WTO,all,reform_event_03,-45,-0.04907975460122701,0.01729860693803818,-0.08298502419978185,-0.015174485002672176,cs_base
WTO,all,reform_event_03,-40,0.07479732690622229,0.18837677917555132,-0.29442116027785825,0.4440158140903029,cs_base
WTO,all,reform_event_03,-35,-0.013032822917937802,0.09557661065306597,-0.2003629797979471,0.17429733396207148,cs_base
WTO,all,reform_event_03,-30,-0.07330344983225401,0.09296608493048868,-0.2555169762960118,0.10891007663150379,cs_base
WTO,all,reform_event_03,-25,0.10604439294328256,0.09050372565208187,-0.07134290933479788,0.283431695221363,cs_base
WTO,all,reform_event_03,-20,-0.03287845242953503,0.08926957903554802,-0.20784682733920914,0.1420899224801391,cs_base
WTO,all,reform_event_03,-15,-0.005141906605476219,0.14660398522485815,-0.2924857176461982,0.2822019044352458,cs_base
WTO,all,reform_event_03,-10,-0.004432853092907241,0.0809522905346716,-0.16309934254086358,0.15423363635504908,cs_base
WTO,all,reform_event_03,-5,-0.037940228508392376,0.15291786734524282,-0.33765924850506834,0.26177879148828354,cs_base
WTO,all,reform_event_03,0,0.03371289445715865,0.12198057026253192,-0.20536902325740392,0.2727948121717212,cs_base
WTO,all,reform_event_03,5,0.23144571674437028,0.11784545106554924,4.6863265589378034e-4,0.4624228008328468,cs_base
WTO,all,reform_event_03,10,0.009349177803636699,0.13039128967335947,-0.24621774995614787,0.26491610556342127,cs_base
WTO,all,reform_event_03,15,0.25601851851851837,0.12512125512758723,0.010780858468447396,0.5012561785685894,cs_base
WTO,all,reversal_event_03,-45,-0.3190184049079756,0.03482042170753479,-0.3872664314547438,-0.2507703783612074,cs_base
WTO,all,reversal_event_03,-40,-0.18306310254163033,0.09607196390101123,-0.37136415178761234,0.005237946704351681,cs_base
WTO,all,reversal_event_03,-35,-0.02220528849887369,0.08852264209575958,-0.19570966700656245,0.15129909000881508,cs_base
WTO,all,reversal_event_03,-30,0.1557046751843596,0.07262351201508045,0.013362591634801912,0.2980467587339173,cs_base
WTO,all,reversal_event_03,-25,-0.10717662676235062,0.0755051005238952,-0.2551666237891852,0.04081337026448395,cs_base
WTO,all,reversal_event_03,-20,0.058107715701598485,0.08490969303949482,-0.10831528265581136,0.22453071405900832,cs_base
WTO,all,reversal_event_03,-15,0.05314144128186203,0.10786055751887019,-0.15826525145512355,0.2645481340188476,cs_base
WTO,all,reversal_event_03,-10,0.01530036040506699,0.09965206091709902,-0.18001767899244708,0.21061839980258107,cs_base
WTO,all,reversal_event_03,-5,-0.10854694899141636,0.09043236724263219,-0.28579438878697544,0.06870049080414274,cs_base
WTO,all,reversal_event_03,0,0.014644520319802437,0.07567827912316628,-0.1336849067616035,0.16297394740120835,cs_base
WTO,all,reversal_event_03,5,-0.1423484132695607,0.06462960586929228,-0.26902244077337356,-0.01567438576574781,cs_base
WTO,all,reversal_event_03,10,-0.13367655182951863,0.07792298540011164,-0.2864056032137374,0.019052499554700175,cs_base
WTO,all,reversal_event_03,15,-0.27731481481481585,0.1251368260099405,-0.5225829937942992,-0.03204663583533246,cs_base
WTO,all,hazard_rev_03,-45,0,NA,NA,NA,cs_base
WTO,all,hazard_rev_03,-40,-0.008764241893076235,0.006337508071769749,-0.021185757713744945,0.003657273927592474,cs_base
WTO,all,hazard_rev_03,-35,-0.017295683610867654,0.006359514790962685,-0.029760332601154516,-0.004831034620580791,cs_base
WTO,all,hazard_rev_03,-30,0.051396708601900064,0.0356881722539435,-0.018552109015829203,0.12134552621962932,cs_base
WTO,all,hazard_rev_03,-25,-0.09910632135682682,0.05872680067859677,-0.21421085068687648,0.01599820797322285,cs_base
WTO,all,hazard_rev_03,-20,0.07829812041099928,0.06301428712930497,-0.04520988236243846,0.20180612318443703,cs_base
WTO,all,hazard_rev_03,-15,0.06061148480999209,0.10131024031975223,-0.13795658621672227,0.25917955583670643,cs_base
WTO,all,hazard_rev_03,-10,-0.10712851544397313,0.0931882418891644,-0.28977746954673533,0.07552043865878909,cs_base
WTO,all,hazard_rev_03,-5,0.11485050325284735,0.08322246241405817,-0.04826552307870666,0.2779665295844014,cs_base
WTO,all,hazard_rev_03,0,-0.12193729591737956,0.11290117133157575,-0.343223591727268,0.0993489998925089,cs_base
WTO,all,hazard_rev_03,5,-0.16792631974599653,0.11201501766898526,-0.38747575437720766,0.051623114885214594,cs_base
WTO,all,hazard_rev_03,10,-0.022598352081055345,0.11595431402653442,-0.2498688075730628,0.2046721034109521,cs_base
WTO,all,hazard_rev_03,15,-0.25416666666666715,0.15230420243884552,-0.5526829034468044,0.04434957011347007,cs_base
