year,iso3,Countries,ECONOMIC FREEDOM ALL AREAS,EFW RANK,EFW QUARTILE,1Ai Government consumption without interest payments,1Ai Government consumption without interest payments_data,1Aii Government consumption plus interest payments,1Aii Government consumption plus interest payments_data,1A Government consumption,1B  Transfers and subsidies,1B  Transfers and subsidies_data,1C  Government investment,1C  Government investment_data,1Di Top marginal income tax rate,1Di Top marginal income tax rate_data,1Dii Top marginal income and payroll tax rate,1Dii Top marginal income and payroll tax rate_data,1D  Top marginal tax rate,IE State ownership,Area 1 Size of Government,Area 1 Rank,2A  Judicial independence,2B  Impartial courts,2C  Property rights,2D  Military interference,2E Legal integrity,2F Contracts,2G Real property,2H Police and crime,Gender Disparity Index,Area 2 Legal System & Property Rights -- Without Gender Adjustment,Area 2 Legal System & Property Rights -- With Gender Adjustment,Area 2 Rank,3A  Money growth,3A  Money growth_data,3B  Standard deviation of inflation,3B  Standard deviation of inflation_data,3C  Inflation,3C  Inflation_data,3D  Foreign currency bank accounts,Area 3 Sound Money,Area 3 Rank,4Ai  Trade tax revenue,4Ai  Trade tax revenue_data,4Aii  Mean tariff rate,4Aii  Mean tariff rate_data,4Aiii  Standard deviation of tariff rates,4Aiii  Standard deviation of tariff rates_data,4A  Tariffs,4Bi  Non-tariff trade barriers,4Bii  Costs of importing and exporting,4B  Regulatory trade barriers,4C  Black market exchange rates,4Di  Financial openness,4Dii  Capital controls,4Diii Freedom of foreigners to visit,4Div Protection of Foreign Assets,4D  Controls of the movement of capital and people,Area 4 Freedom to trade internationally,Area 4 Rank,5Ai  Ownership of banks,5Aii Private sector credit,5Aiii  Interest rate controls/negative real interest rates),5A  Credit market regulation,5Bi  Labor regulations and minimum wage,5Bii  Hiring and firing regulations,5Biii  Flexible wage determination,5Biv  Hours Regulations,5Bv Cost of worker dismissal,5Bvi  Conscription,5Bvii Foreign Labor,5B  Labor market regulations,5Ci  Regulatory Burden,5Cii  Bureacracy costs,5Ciii  Impartial Public Administration,5Civ Tax compliance,5C  Business regulation,5Di  Market openness,5Dii Business Permits,5Diii Distorton of the business environment,5D Freedom to enter markets and compete,Area 5 Regulation,Area 5 Rank,Region,Income_Group,efw_present,n_areas,complete5,BN.CAB.XOKA.GD.ZS,BX.KLT.DINV.WD.GD.ZS,FM.LBL.BMNY.GD.ZS,FP.CPI.TOTL.ZG,FS.AST.PRVT.GD.ZS,GC.DOD.TOTL.GD.ZS,GC.TAX.TOTL.GD.ZS,NE.CON.GOVT.ZS,NE.GDI.FTOT.ZS,NE.TRD.GNFS.ZS,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.KD,NY.GDP.TOTL.RT.ZS,SE.SEC.ENRR,SI.POV.GINI,SL.TLF.CACT.ZS,SL.UEM.TOTL.ZS,SP.DYN.LE00.IN,SP.POP.TOTL,wgi_control_corruption,wgi_govt_effectiveness,wgi_political_stability,wgi_regulatory_quality,wgi_rule_of_law,wgi_voice_accountability,gdppc_filled,trade_openness_filled,investment_gfcf_filled,govt_consumption_filled,macro_n_vars,macro_present,merged_present
2000,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,11.0568722640362,-6.82872717296655,51.8345420279829,4.04402131190513,44.7997006095161,,,21.4195402984363,,145.072879516204,7.62292064930222,28104.8954362859,0.00166277142064697,,,,,72.939,90588.0,,,,,,,28104.8954362859,145.072879516204,,21.4195402984363,15,True,False
2001,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,16.2808742441801,-14.0750555726085,54.2204840664361,2.88360430316264,46.5928526526089,,,24.8419722988295,,140.391108618306,4.1820016304779,29007.7386958774,0.0014191795529938,97.5565338134766,,,,73.044,91439.0,,,,,,,29007.7386958774,140.391108618306,,24.8419722988295,16,True,False
2002,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,-17.3434518893983,16.9490560127573,57.9092747102543,3.31524678585423,50.7912122333912,,,24.8902241079819,,133.230771421249,-0.944953481157384,28535.4639480222,0.00137100806940249,100.163063049316,,,,73.135,92074.0,,,,,,,28535.4639480222,133.230771421249,,24.8902241079819,16,True,False
2003,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,-8.09902267310928,7.81642871198372,60.511730109102,3.65636507938418,55.0125172180073,,,24.4446509390647,,132.794291274023,1.11050459944282,28525.8077063839,0.00145277793252244,101.929069519043,,,,73.236,93128.0,,,,,,,28525.8077063839,132.794291274023,,24.4446509390647,16,True,False
2004,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,12.0136853291022,-4.68763897846137,56.6208316991428,2.52912946932762,51.7852298243845,,,22.8866788053061,,132.430929795173,7.29372807096192,29959.7748189582,0.00158368130684963,100.940940856934,,,,73.223,95138.0,1.16596531867981,1.28138864040375,0.993218183517456,0.762953817844391,0.915526807308197,0.737520694732666,29959.7748189582,132.430929795173,,22.8866788053061,22,True,False
2005,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,4.44757292760025,-8.8049356352136,57.4467898753702,3.39778677828806,54.0607007192211,,,22.8359748330604,,145.050280144237,-0.383137672063768,29081.7066997897,0.00197275799182091,99.2053527832031,,,,73.415,97635.0,1.26966309547424,1.28759801387787,1.37641596794128,0.864074349403381,0.847438395023346,1.15323007106781,29081.7066997897,145.050280144237,,22.8359748330604,22,True,False
2006,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,12.5742113280132,8.92046662114826,56.1965622017724,3.60802438784541,53.8841202639004,,,22.3230008475629,,141.042626734626,1.12741146411624,28885.9118700469,0.002449482525579,99.8657531738281,,,,73.498,99405.0,1.25131320953369,1.27981781959534,1.30346059799194,0.855286777019501,0.810431301593781,1.01727342605591,28885.9118700469,141.042626734626,,22.3230008475629,22,True,False
2007,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,9.64536035842434,-17.5903165005138,53.5449985374437,5.39256784475517,51.7272559982541,,,21.4144525595569,,139.972309491093,3.0895443848509,29556.8384686554,0.00243696444079606,106.236473083496,,,,73.642,100150.0,1.26187098026276,1.24660122394562,1.28656852245331,0.877206325531006,0.826464056968689,0.972128868103027,29556.8384686554,139.972309491093,,21.4144525595569,22,True,False
2008,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,0.00393003438387262,0.664175810874169,58.7834892967479,8.95598705177784,50.6584576108456,,,21.2483204015552,,139.110149824701,1.83575517191368,29870.6648077005,0.00287298171598646,97.0627517700195,,,,73.783,100917.0,1.27677536010742,1.27092468738556,1.3163959980011,0.89470237493515,0.847226142883301,0.967198193073273,29870.6648077005,139.110149824701,,21.2483204015552,22,True,False
2009,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,6.72239127248544,-0.41563759901472,69.2036602359509,-2.13542872046937,55.8930411328093,,,24.8330340013432,,137.556575933708,-11.6777413693852,26204.0597361984,0.0020412189607002,99.1602172851562,,,,73.974,101604.0,1.10914754867554,1.49665641784668,1.12155425548553,1.28930068016052,1.42620670795441,1.25234353542328,26204.0597361984,137.556575933708,,24.8330340013432,22,True,False
