iso3,year,event_type,change,level,event_id
AGO,2010,pos,1.04,4.84,0
ALB,2000,pos,0.96,6.43,1
ARG,2005,neg,-1.1499999999999997,6.2,2
ARG,2015,neg,-0.6600000000000001,5.05,3
ARG,1990,pos,0.8700000000000006,4.73,4
ARM,2005,pos,1.8800000000000008,7.19,5
BEN,1975,neg,-0.6399999999999997,4.75,6
BGD,2000,pos,1.0,5.91,7
BGR,2005,pos,1.5200000000000005,6.82,8
BHR,1980,pos,1.5099999999999998,6.74,9
BIH,2005,pos,0.8600000000000003,6.33,10
BLZ,2010,neg,-0.6999999999999993,5.98,11
BOL,1980,neg,-0.5499999999999998,4.48,12
BOL,1990,pos,1.62,5.71,13
BRA,1975,neg,-0.7800000000000002,4.08,14
BRA,1990,pos,1.04,4.16,15
BRA,2000,pos,1.29,5.63,16
BRB,1975,neg,-1.6800000000000006,6.37,17
CHL,1980,pos,1.0900000000000003,4.91,18
CHL,1990,pos,1.5199999999999996,6.89,19
CHN,1995,pos,0.8999999999999995,5.01,20
COD,1975,neg,-0.5,3.45,21
COD,2010,pos,0.8300000000000001,4.94,22
COG,2000,neg,-0.8999999999999995,4.4,23
CRI,1975,neg,-1.0600000000000005,6.92,24
CRI,1990,pos,1.4699999999999998,7.47,25
CYP,2005,pos,0.8799999999999999,7.8,26
DOM,1995,pos,1.6199999999999992,5.81,27
DZA,1975,neg,-0.4900000000000002,4.04,28
DZA,2000,pos,0.81,4.7,29
ECU,2000,neg,-0.5499999999999998,5.92,30
EGY,1995,pos,0.96,5.24,31
EST,1995,pos,1.0300000000000002,6.08,32
FRA,1990,pos,0.9300000000000006,7.45,33
GBR,1980,pos,0.9900000000000002,7.51,34
GEO,2005,pos,0.8399999999999999,7.18,35
GHA,1975,neg,-0.8600000000000003,3.67,36
GHA,1990,pos,1.3899999999999997,4.52,37
GHA,2005,pos,0.8300000000000001,6.36,38
GIN,2005,neg,-0.91,4.92,39
GIN,2015,pos,1.02,4.55,40
GMB,2010,pos,1.42,6.62,41
GRC,1990,pos,0.8499999999999996,6.43,42
GTM,1990,pos,0.9900000000000002,6.19,43
GUY,1975,neg,-1.3899999999999997,5.07,44
GUY,1995,pos,0.8799999999999999,5.18,45
HRV,2000,pos,1.2999999999999998,6.0,46
HTI,1975,neg,-0.4799999999999995,5.41,47
HTI,1995,pos,1.2800000000000002,6.36,48
HUN,1995,pos,1.0700000000000005,6.59,49
IDN,1985,pos,0.91,5.82,50
IND,1975,neg,-0.96,4.88,51
IRN,1980,neg,-1.6500000000000004,4.3,52
IRN,2000,pos,0.8700000000000001,5.21,53
IRQ,2010,pos,1.3199999999999998,4.01,54
ISL,1990,pos,1.34,7.06,55
ISR,1975,neg,-0.6800000000000006,4.64,56
ISR,1990,pos,0.9900000000000002,5.71,57
ITA,1975,neg,-0.4700000000000006,6.02,58
ITA,1990,pos,0.8699999999999992,7.1,59
JAM,1975,neg,-1.2200000000000006,5.52,60
JOR,1995,pos,0.8200000000000003,5.9,61
KEN,2005,pos,0.8200000000000003,6.84,62
KGZ,2005,pos,1.5300000000000002,6.24,63
KOR,1990,pos,0.9400000000000004,6.86,64
KWT,1975,neg,-1.7299999999999995,5.08,65
KWT,2010,neg,-0.4399999999999995,6.53,66
LAO,2005,pos,1.38,5.12,67
LBN,2010,pos,1.3200000000000005,6.63,68
LBR,2010,pos,0.8899999999999997,6.09,69
LBY,2015,pos,0.81,4.49,70
LSO,2005,pos,1.7399999999999998,5.67,71
LTU,2000,pos,1.13,7.0,72
LUX,1990,neg,-0.7300000000000004,8.09,73
LUX,2005,neg,-0.4699999999999997,7.69,74
LVA,2000,pos,1.16,7.36,75
MDA,2005,pos,0.9900000000000002,6.32,76
MDG,1975,neg,-1.1399999999999997,4.66,77
MDG,2000,pos,1.08,5.43,78
MEX,1980,neg,-1.17,5.38,79
MEX,1990,pos,1.1500000000000004,5.92,80
MLT,1975,neg,-0.4500000000000002,5.84,81
MLT,1995,pos,1.2299999999999995,7.31,82
MMR,2015,pos,1.3399999999999994,5.06,83
MNE,2005,pos,1.2300000000000004,6.04,84
MRT,2005,pos,1.04,5.44,85
MUS,1975,neg,-1.6000000000000003,5.27,86
MUS,1985,pos,1.46,6.61,87
MUS,1995,pos,0.9300000000000006,7.44,88
MWI,1975,neg,-1.0700000000000005,4.68,89
MWI,1995,neg,-0.7800000000000002,4.27,90
MYS,2000,neg,-0.5099999999999998,6.49,91
MYS,2015,pos,0.8099999999999996,7.27,92
NER,1975,neg,-0.4599999999999999,5.87,93
NER,1990,neg,-0.6799999999999997,5.19,94
NGA,1990,neg,-0.4399999999999995,4.08,95
NGA,2000,pos,1.13,4.96,96
NIC,1980,neg,-1.8100000000000005,4.18,97
NIC,1990,pos,0.8599999999999999,3.29,98
NPL,1975,pos,1.06,3.89,99
NZL,1990,pos,1.04,8.25,100
OMN,1985,pos,1.46,6.74,101
PAN,1975,neg,-0.6500000000000004,6.33,102
PAN,1985,pos,0.8300000000000001,6.69,103
PER,1975,neg,-1.0300000000000002,4.18,104
PER,1990,pos,0.8300000000000001,3.92,105
PER,2000,pos,1.3000000000000007,7.32,106
PHL,1990,pos,1.1399999999999997,5.83,107
POL,1995,pos,1.38,5.93,108
PRT,1980,pos,1.1700000000000008,6.23,109
PRY,1995,pos,1.4699999999999998,7.14,110
QAT,2010,pos,1.96,6.91,111
ROU,1990,neg,-0.8200000000000003,4.54,112
ROU,2000,pos,0.91,5.37,113
RUS,1995,pos,1.1700000000000004,4.57,114
RWA,1980,pos,0.8100000000000005,4.4,115
RWA,2000,pos,1.3000000000000007,5.4,116
SLE,1985,neg,-0.9699999999999998,3.29,117
SLE,1995,pos,0.8999999999999999,3.98,118
SLV,1980,neg,-1.04,4.47,119
SLV,1995,pos,2.0200000000000005,7.23,120
SRB,2005,pos,1.2199999999999998,5.39,121
SUR,2010,pos,0.8199999999999994,6.6,122
SWZ,2010,pos,0.9299999999999996,5.29,123
SYC,2015,pos,0.9400000000000004,7.19,124
SYR,1980,neg,-0.6299999999999999,3.66,125
SYR,2015,neg,-0.6699999999999999,4.53,126
TGO,1985,pos,1.0300000000000002,5.41,127
THA,2000,neg,-0.5899999999999999,6.72,128
TJK,2010,pos,1.4799999999999995,5.52,129
TLS,2010,pos,0.8200000000000003,5.17,130
TTO,1995,pos,1.3100000000000005,7.19,131
TUR,1985,pos,1.0999999999999996,4.93,132
TZA,1995,pos,1.6899999999999995,6.01,133
UGA,1995,pos,2.33,5.41,134
UKR,2000,pos,1.0300000000000002,4.41,135
VEN,1975,neg,-0.8100000000000005,6.77,136
VEN,1985,neg,-0.6299999999999999,6.25,137
VEN,2005,neg,-1.0600000000000005,4.31,138
YEM,2015,neg,-0.4500000000000002,5.34,139
ZAF,1995,pos,1.0200000000000005,6.82,140
ZMB,1985,neg,-0.6999999999999993,4.32,141
ZMB,1995,pos,1.5499999999999998,5.18,142
ZWE,2000,neg,-1.8600000000000003,4.46,143
ZWE,2010,pos,1.2100000000000004,4.57,144
