decade,wb_region,country,iso3,year,d_efw_summary,shock
1970,East Asia & Pacific,Philippines,PHL,1975,-0.6430378093475042,negative
1970,East Asia & Pacific,Papua New Guinea,PNG,1975,-0.7881013543205935,negative
1970,East Asia & Pacific,Myanmar,MMR,1975,-1.0360812871648877,negative
1970,East Asia & Pacific,Indonesia,IDN,1975,0.44795869374150143,positive
1970,East Asia & Pacific,"Hong Kong SAR, China",HKG,1975,0.28778691065901185,positive
1970,East Asia & Pacific,Japan,JPN,1975,0.20026487011192184,positive
1970,Europe & Central Asia,Italy,ITA,1975,-0.46384100514113236,negative
1970,Europe & Central Asia,Portugal,PRT,1975,-0.6585902330850031,negative
1970,Europe & Central Asia,Iceland,ISL,1975,-0.7294043146858487,negative
1970,Europe & Central Asia,Türkiye,TUR,1975,0.30761746927972844,positive
1970,Europe & Central Asia,Sweden,SWE,1975,0.19790401455616546,positive
1970,Europe & Central Asia,Norway,NOR,1975,0.11903455213148018,positive
1970,Latin America & the Caribbean,Guyana,GUY,1975,-1.0197361857741205,negative
1970,Latin America & the Caribbean,Uruguay,URY,1975,-1.1293791626061722,negative
1970,Latin America & the Caribbean,Argentina,ARG,1975,-1.1554382011899147,negative
1970,Latin America & the Caribbean,Guatemala,GTM,1975,0.4261556606516246,positive
1970,Latin America & the Caribbean,Ecuador,ECU,1975,0.40176536508110416,positive
1970,Latin America & the Caribbean,Honduras,HND,1975,0.08948573549183525,positive
1970,Middle East & North Africa,Israel,ISR,1975,-0.6804658235807466,negative
1970,Middle East & North Africa,Pakistan,PAK,1975,-1.017250413121776,negative
1970,Middle East & North Africa,Kuwait,KWT,1975,-1.4668368365362587,negative
1970,Middle East & North Africa,"Iran, Islamic Rep.",IRN,1975,0.21994743149169516,positive
1970,Middle East & North Africa,Syrian Arab Republic,SYR,1975,0.2013662233958664,positive
1970,Middle East & North Africa,Tunisia,TUN,1975,0.042678998022013914,positive
1970,North America,United States,USA,1975,0.12591305498964012,negative
1970,North America,Canada,CAN,1975,-0.1144404831891741,negative
1970,North America,United States,USA,1975,0.12591305498964012,positive
1970,North America,Canada,CAN,1975,-0.1144404831891741,positive
1970,South Asia,Nepal,NPL,1975,-0.014036520290619414,negative
1970,South Asia,Sri Lanka,LKA,1975,-0.13550688587105864,negative
1970,South Asia,India,IND,1975,-0.697447838220592,negative
1970,South Asia,Nepal,NPL,1975,-0.014036520290619414,positive
1970,South Asia,Sri Lanka,LKA,1975,-0.13550688587105864,positive
1970,South Asia,India,IND,1975,-0.697447838220592,positive
1970,Sub-Saharan Africa,Tanzania,TZA,1975,-0.7901104682557154,negative
1970,Sub-Saharan Africa,Gabon,GAB,1975,-0.950887437208221,negative
1970,Sub-Saharan Africa,Rwanda,RWA,1975,-1.1545289688780032,negative
1970,Sub-Saharan Africa,Cameroon,CMR,1975,0.2696354007092596,positive
1970,Sub-Saharan Africa,Kenya,KEN,1975,0.17755110700884558,positive
1970,Sub-Saharan Africa,Senegal,SEN,1975,0.1260609388299203,positive
1980,East Asia & Pacific,Thailand,THA,1980,-0.09485645431358058,negative
1980,East Asia & Pacific,Malaysia,MYS,1985,-0.10419205714452495,negative
1980,East Asia & Pacific,Philippines,PHL,1985,-0.28425522857347474,negative
1980,East Asia & Pacific,Myanmar,MMR,1980,0.9637079619585167,positive
1980,East Asia & Pacific,Indonesia,IDN,1985,0.8891555423942297,positive
1980,East Asia & Pacific,"Korea, Rep.",KOR,1985,0.539741196011879,positive
1980,Europe & Central Asia,Poland,POL,1985,-0.24917193617921107,negative
1980,Europe & Central Asia,Greece,GRC,1985,-0.44564434951381404,negative
1980,Europe & Central Asia,Türkiye,TUR,1980,-0.8679967469184429,negative
1980,Europe & Central Asia,Türkiye,TUR,1985,1.105806212883691,positive
1980,Europe & Central Asia,United Kingdom,GBR,1985,0.8977352590646186,positive
1980,Europe & Central Asia,United Kingdom,GBR,1980,0.8877493273731334,positive
1980,Latin America & the Caribbean,Nicaragua,NIC,1980,-1.1932431350185957,negative
1980,Latin America & the Caribbean,Mexico,MEX,1980,-1.4085045817560378,negative
1980,Latin America & the Caribbean,Nicaragua,NIC,1985,-1.5926968927535108,negative
1980,Latin America & the Caribbean,Chile,CHL,1980,1.1074188960128133,positive
1980,Latin America & the Caribbean,Argentina,ARG,1980,0.8443857830037276,positive
1980,Latin America & the Caribbean,Dominican Republic,DOM,1980,0.7947209324268174,positive
1980,Middle East & North Africa,Syrian Arab Republic,SYR,1985,-0.41040075355477335,negative
1980,Middle East & North Africa,Syrian Arab Republic,SYR,1980,-0.447805700284412,negative
1980,Middle East & North Africa,"Iran, Islamic Rep.",IRN,1980,-1.1993563644928664,negative
1980,Middle East & North Africa,Kuwait,KWT,1985,1.2083817203226692,positive
1980,Middle East & North Africa,Oman,OMN,1985,0.978886675528015,positive
1980,Middle East & North Africa,Bahrain,BHR,1980,0.8477154637848567,positive
1980,North America,United States,USA,1985,0.14427458034482932,negative
1980,North America,Canada,CAN,1980,0.14305060398646763,negative
1980,North America,Canada,CAN,1985,0.08541522158224613,negative
1980,North America,United States,USA,1980,0.18492337083880894,positive
1980,North America,United States,USA,1985,0.14427458034482932,positive
1980,North America,Canada,CAN,1980,0.14305060398646763,positive
1980,South Asia,India,IND,1980,0.1106038855242657,negative
1980,South Asia,Nepal,NPL,1985,-0.08870582843674235,negative
1980,South Asia,India,IND,1985,-0.13201561200478729,negative
1980,South Asia,Nepal,NPL,1980,0.6009430238268414,positive
1980,South Asia,Bangladesh,BGD,1980,0.4704470531244733,positive
1980,South Asia,Sri Lanka,LKA,1980,0.46910566870202963,positive
1980,Sub-Saharan Africa,"Congo, Dem. Rep.",COD,1980,-0.691655961007756,negative
1980,Sub-Saharan Africa,Uganda,UGA,1985,-0.7084364372430896,negative
1980,Sub-Saharan Africa,Sierra Leone,SLE,1985,-1.2382868213772515,negative
1980,Sub-Saharan Africa,Mauritius,MUS,1985,1.245980652016967,positive
1980,Sub-Saharan Africa,Rwanda,RWA,1980,1.0759211795793155,positive
1980,Sub-Saharan Africa,Togo,TGO,1985,0.8377795327160529,positive
1990,East Asia & Pacific,China,CHN,1990,-0.6085348675067488,negative
1990,East Asia & Pacific,Fiji,FJI,1990,-0.7330848162692307,negative
1990,East Asia & Pacific,Myanmar,MMR,1990,-1.3399568400727997,negative
