iso3,n_events,share
USA,175,0.02691065662002153
LBR,104,0.01599261879132708
PRT,100,0.01537751806858373
SLV,90,0.013839766261725358
ARG,86,0.013224665538982008
BOL,86,0.013224665538982008
BRA,82,0.012609564816238658
COL,80,0.012302014454866984
DOM,79,0.012148239274181146
CHL,78,0.01199446409349531
DNK,77,0.011840688912809472
FRA,76,0.011686913732123634
BEL,76,0.011686913732123634
ISL,75,0.011533138551437798
URY,74,0.01137936337075196
ESP,72,0.011071813009380286
SWE,72,0.011071813009380286
HND,72,0.011071813009380286
GRC,71,0.010918037828694448
NLD,71,0.010918037828694448
ECU,70,0.010764262648008612
GTM,69,0.010610487467322774
NOR,69,0.010610487467322774
ROU,69,0.010610487467322774
AUS,68,0.010456712286636936
CRI,67,0.0103029371059511
YUG,65,0.009995386744579424
BGR,64,0.009841611563893588
GBR,61,0.009380286021836076
PER,60,0.009226510841150238
FIN,58,0.008918960479778564
PRY,58,0.008918960479778564
NZL,56,0.008611410118406888
NIC,54,0.008303859757035214
PHL,54,0.008303859757035214
AUT,54,0.008303859757035214
PAN,53,0.008150084576349376
CUB,53,0.008150084576349376
CHE,52,0.00799630939566354
CAN,52,0.00799630939566354
MEX,52,0.00799630939566354
DEU,51,0.007842534214977702
JPN,49,0.007534983853606028
IRL,48,0.00738120867292019
HUN,45,0.006919883130862679
FJI,44,0.006766107950176841
ITA,42,0.006458557588805167
VEN,40,0.006151007227433492
KEN,40,0.006151007227433492
ZMB,39,0.005997232046747655
HTI,38,0.005843456866061817
ZWE,38,0.005843456866061817
TUR,36,0.005535906504690143
FRO,36,0.005535906504690143
KOR,35,0.005382131324004306
LKA,34,0.005228356143318468
POL,34,0.005228356143318468
LIE,34,0.005228356143318468
IRN,33,0.005074580962632631
ISR,33,0.005074580962632631
EGY,33,0.005074580962632631
ALB,32,0.004920805781946794
MNE,29,0.004459480239889282
TWN,29,0.004459480239889282
SYR,29,0.004459480239889282
SYC,29,0.004459480239889282
RUS,29,0.004459480239889282
LUX,29,0.004459480239889282
GAB,28,0.004305705059203444
SEN,28,0.004305705059203444
JAM,28,0.004305705059203444
TGO,28,0.004305705059203444
THA,28,0.004305705059203444
TUN,28,0.004305705059203444
CIV,28,0.004305705059203444
MNG,28,0.004305705059203444
TZA,28,0.004305705059203444
BEN,27,0.004151929878517607
CZE,27,0.004151929878517607
DZA,26,0.00399815469783177
GMB,26,0.00399815469783177
SMR,26,0.00399815469783177
KIR,26,0.00399815469783177
MRT,26,0.00399815469783177
ZAF,26,0.00399815469783177
GUY,25,0.0038443795171459326
NAM,25,0.0038443795171459326
MDV,25,0.0038443795171459326
NER,25,0.0038443795171459326
TCA,25,0.0038443795171459326
CYP,25,0.0038443795171459326
