election_year,n_events
1789,4
1790,2
1791,1
1792,4
1794,1
1795,1
1796,4
1797,2
1798,4
1799,1
1800,3
1801,2
1802,3
1803,1
1804,3
1805,1
1806,2
1807,1
1808,2
1809,1
1810,3
1811,1
1812,4
1813,1
1814,4
1815,3
1816,3
1817,3
1818,3
1819,1
1820,7
1821,1
1822,5
1823,3
1824,4
1825,2
1826,6
1827,2
1828,5
1829,2
1830,5
1831,6
1832,4
1833,3
1834,7
1835,4
1836,9
1837,5
1838,5
1839,5
1840,7
1841,8
1842,9
1843,7
1844,12
1845,5
1846,8
1847,9
1848,19
1849,7
1850,9
1851,8
1852,12
1853,14
1854,11
1855,8
1856,11
1857,14
1858,14
1859,12
1860,13
1861,13
1862,9
1863,10
1864,14
1865,15
1866,16
1867,13
1868,12
1869,17
1870,13
1871,15
1872,18
1873,11
1874,14
1875,13
1876,17
1877,10
1878,15
1879,14
1880,19
1881,19
1882,15
1883,7
1884,21
1885,13
1886,18
1887,20
1888,15
1889,7
1890,18
1891,16
1892,24
1893,17
1894,22
1895,12
1896,20
1897,14
1898,19
1899,17
1900,14
1901,18
1902,15
1903,17
1904,15
1905,25
1906,21
1907,12
1908,24
1909,10
1910,22
1911,25
1912,24
1913,12
1914,28
1915,15
1916,21
1917,16
1918,21
1919,32
1920,40
1921,15
1922,28
1923,26
1924,34
1925,25
1926,27
1927,20
1928,39
1929,17
1930,25
1931,33
1932,39
1933,19
1934,22
1935,21
1936,31
1937,17
1938,27
1939,21
1940,24
1941,7
1942,16
1943,19
1944,20
1945,32
1946,45
1947,35
1948,41
1949,37
1950,39
1951,41
1952,45
1953,36
1954,47
1955,30
1956,41
1957,58
1958,56
1959,39
1960,44
1961,50
1962,42
1963,52
1964,49
1965,51
1966,43
1967,38
1968,42
1969,45
1970,48
1971,40
1972,41
1973,48
1974,50
1975,32
1976,44
1977,42
1978,55
1979,51
1980,51
1981,43
1982,45
1983,53
1984,55
1985,46
1986,44
1987,54
1988,54
1989,61
1990,82
1991,59
1992,84
1993,75
1994,72
1995,62
1996,84
1997,62
1998,70
1999,80
2000,72
2001,64
2002,78
2003,67
2004,73
2005,72
2006,81
2007,77
2008,69
2009,72
2010,72
2011,83
2012,73
2013,70
2014,76
2015,77
2016,87
2017,65
2018,72
2019,85
2020,85
2021,72
2022,57
2023,70
2024,2
