election_year,parliamentary,presidential
1789,3,1
1790,2,0
1791,1,0
1792,3,1
1794,1,0
1795,1,0
1796,3,1
1797,2,0
1798,4,0
1799,1,0
1800,3,0
1801,2,0
1802,3,0
1803,1,0
1804,2,1
1805,0,1
1806,2,0
1807,1,0
1808,1,1
1809,1,0
1810,3,0
1811,1,0
1812,3,1
1813,1,0
1814,4,0
1815,3,0
1816,2,1
1817,3,0
1818,3,0
1819,1,0
1820,6,1
1821,1,0
1822,5,0
1823,3,0
1824,4,0
1825,2,0
1826,6,0
1827,2,0
1828,4,1
1829,2,0
1830,5,0
1831,6,0
1832,3,1
1833,3,0
1834,7,0
1835,4,0
1836,8,1
1837,5,0
1838,5,0
1839,5,0
1840,5,2
1841,8,0
1842,8,1
1843,7,0
1844,9,3
1845,5,0
1846,7,1
1847,7,2
1848,16,3
1849,6,1
1850,8,1
1851,7,1
1852,9,3
1853,12,2
1854,10,1
1855,6,2
1856,10,1
1857,11,3
1858,14,0
1859,10,2
1860,9,4
1861,12,1
1862,7,2
1863,8,2
1864,13,1
1865,13,2
1866,15,1
1867,12,1
1868,10,2
1869,14,3
1870,12,1
1871,14,1
1872,16,2
1873,9,2
1874,12,2
1875,9,4
1876,13,4
1877,9,1
1878,12,3
1879,13,1
1880,15,4
1881,17,2
1882,13,2
1883,5,2
1884,18,3
1885,12,1
1886,16,2
1887,17,3
1888,12,3
1889,6,1
1890,16,2
1891,14,2
1892,20,4
1893,15,2
1894,17,5
1895,9,3
1896,19,1
1897,12,2
1898,13,6
1899,15,2
1900,13,1
1901,14,4
1902,13,2
1903,13,4
1904,10,5
1905,20,5
1906,20,1
1907,9,3
1908,20,4
1909,9,1
1910,20,2
1911,21,4
1912,18,6
1913,10,2
1914,24,4
1915,12,3
1916,14,7
1917,13,3
1918,18,3
1919,26,6
1920,32,8
1921,15,0
1922,24,4
1923,24,2
1924,26,8
1925,21,4
1926,22,5
1927,17,3
1928,31,8
1929,16,1
1930,21,4
1931,26,7
1932,31,8
1933,18,1
1934,18,4
1935,18,3
1936,26,5
1937,17,0
1938,22,5
1939,18,3
1940,17,7
1941,6,1
1942,11,5
1943,17,2
1944,15,5
1945,27,5
1946,41,4
1947,31,4
1948,34,7
1949,31,6
1950,31,8
1951,37,4
1952,37,8
1953,32,4
1954,42,5
1955,28,2
1956,32,9
1957,52,6
1958,46,10
1959,35,4
1960,35,9
1961,44,6
1962,35,7
1963,41,11
1964,40,9
1965,40,11
1966,36,7
1967,33,5
1968,28,14
1969,39,6
1970,37,11
1971,32,8
1972,37,4
1973,37,11
1974,40,10
1975,27,5
1976,36,8
1977,38,4
1978,39,16
1979,42,9
1980,41,10
1981,34,9
1982,34,11
1983,41,12
1984,41,14
1985,35,11
1986,33,11
1987,48,6
1988,36,18
1989,48,13
1990,65,17
1991,40,19
1992,60,24
1993,51,24
1994,52,20
1995,51,11
1996,53,31
1997,47,15
1998,51,19
1999,55,25
2000,46,26
2001,46,18
2002,57,21
2003,48,19
2004,44,29
2005,52,20
2006,54,27
2007,61,16
2008,52,17
2009,47,25
2010,50,22
2011,57,26
2012,51,22
2013,50,20
2014,52,24
2015,58,19
2016,57,30
2017,47,18
2018,47,25
2019,60,25
2020,62,23
2021,51,21
2022,43,14
2023,51,19
2024,2,0
