election_year,clea_lc,ned_parl,ned_pres
1789,0,3,1
1790,0,2,0
1791,0,1,0
1792,0,3,1
1794,0,1,0
1795,0,1,0
1796,0,3,1
1797,0,2,0
1798,0,4,0
1799,0,1,0
1800,0,3,0
1801,0,2,0
1802,0,3,0
1803,0,1,0
1804,0,2,1
1805,0,0,1
1806,0,2,0
1807,0,1,0
1808,0,1,1
1809,0,1,0
1810,0,3,0
1811,0,1,0
1812,0,3,1
1813,0,1,0
1814,0,4,0
1815,0,3,0
1816,0,2,1
1817,0,3,0
1818,0,3,0
1819,0,1,0
1820,0,6,1
1821,0,1,0
1822,0,5,0
1823,0,3,0
1824,0,4,0
1825,0,2,0
1826,0,6,0
1827,0,2,0
1828,0,4,1
1829,0,2,0
1830,0,5,0
1831,0,6,0
1832,0,3,1
1833,0,3,0
1834,0,7,0
1835,0,4,0
1836,0,8,1
1837,0,5,0
1838,0,5,0
1839,0,5,0
1840,0,5,2
1841,0,8,0
1842,0,8,1
1843,0,7,0
1844,0,9,3
1845,0,5,0
1846,0,7,1
1847,0,7,2
1848,0,16,3
1849,0,6,1
1850,1,7,1
1851,0,7,1
1852,0,9,3
1853,0,12,2
1854,0,10,1
1855,0,6,2
1856,0,10,1
1857,0,11,3
1858,1,13,0
1859,0,10,2
1860,0,9,4
1861,0,12,1
1862,0,7,2
1863,0,8,2
1864,1,12,1
1865,1,12,2
1866,1,14,1
1867,0,12,1
1868,0,10,2
1869,0,14,3
1870,0,12,1
1871,0,14,1
1872,0,16,2
1873,0,9,2
1874,0,12,2
1875,0,9,4
1876,0,13,4
1877,0,9,1
1878,0,12,3
1879,0,13,1
1880,1,14,4
1881,0,17,2
1882,1,12,2
1883,0,5,2
1884,0,18,3
1885,1,11,1
1886,1,15,2
1887,0,17,3
1888,0,12,3
1889,0,6,1
1890,0,16,2
1891,1,13,2
1892,1,19,4
1893,0,15,2
1894,1,16,5
1895,0,9,3
1896,0,19,1
1897,1,11,2
1898,0,13,6
1899,0,15,2
1900,0,13,1
1901,0,14,4
1902,0,13,2
1903,0,13,4
1904,0,10,5
1905,1,19,5
1906,1,19,1
1907,0,9,3
1908,2,18,4
1909,0,9,1
1910,1,19,2
1911,2,19,4
1912,2,16,6
1913,0,10,2
1914,3,21,4
1915,1,11,3
1916,2,12,7
1917,1,12,3
1918,2,16,3
1919,0,26,6
1920,2,30,8
1921,1,14,0
1922,1,23,4
1923,2,22,2
1924,2,24,8
1925,0,21,4
1926,3,19,5
1927,0,17,3
1928,1,30,8
1929,1,15,1
1930,1,20,4
1931,0,26,7
1932,2,29,8
1933,0,18,1
1934,0,18,4
1935,0,18,3
1936,3,23,5
1937,0,17,0
1938,0,22,5
1939,0,18,3
1940,1,16,7
1941,0,6,1
1942,0,11,5
1943,1,16,2
1944,0,15,5
1945,1,26,5
1946,1,40,4
1947,0,31,4
1948,0,34,7
1949,0,31,6
1950,1,30,8
1951,0,37,4
1952,0,37,8
1953,0,32,4
1954,2,40,5
1955,1,27,2
1956,1,31,9
1957,0,52,6
1958,1,45,10
1959,0,35,4
1960,0,35,9
1961,0,44,6
1962,1,34,7
1963,0,41,11
1964,0,40,9
1965,1,39,11
1966,2,34,7
1967,0,33,5
1968,0,28,14
1969,0,39,6
1970,1,36,11
1971,0,32,8
1972,1,36,4
1973,0,37,11
1974,1,39,10
1975,0,27,5
1976,0,36,8
1977,1,37,4
1978,1,38,16
1979,1,41,9
1980,1,40,10
1981,0,34,9
1982,0,34,11
1983,1,40,12
1984,1,40,14
1985,0,35,11
1986,0,33,11
1987,3,45,6
1988,1,35,18
1989,2,46,13
1990,2,63,17
1991,2,38,19
1992,2,58,24
1993,1,50,24
1994,1,51,20
1995,3,48,11
1996,3,50,31
1997,1,46,15
1998,3,48,19
1999,2,53,25
2000,2,44,26
2001,3,43,18
2002,3,54,21
2003,4,44,19
2004,3,41,29
2005,3,49,20
2006,3,51,27
2007,3,58,16
2008,5,47,17
2009,2,45,25
2010,1,49,22
2011,4,53,26
2012,4,47,22
2013,2,48,20
2014,3,49,24
2015,4,54,19
2016,10,47,30
2017,6,41,18
2018,3,44,25
2019,8,52,25
2020,10,52,23
2021,3,48,21
2022,3,40,14
2023,1,50,19
2024,2,0,0
