election_year,share_winner_ideo
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.2
1829,0.0
1830,0.2
1831,0.0
1832,0.5
1833,0.0
1834,0.14285714285714285
1835,0.0
1836,0.1111111111111111
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.125
1842,0.0
1843,0.0
1844,0.08333333333333333
1845,0.0
1846,0.0
1847,0.1111111111111111
1848,0.0
1849,0.14285714285714285
1850,0.0
1851,0.0
1852,0.25
1853,0.14285714285714285
1854,0.09090909090909091
1855,0.125
1856,0.09090909090909091
1857,0.0
1858,0.14285714285714285
1859,0.08333333333333333
1860,0.15384615384615385
1861,0.07692307692307693
1862,0.1111111111111111
1863,0.0
1864,0.2857142857142857
1865,0.13333333333333333
1866,0.125
1867,0.0
1868,0.25
1869,0.058823529411764705
1870,0.07692307692307693
1871,0.0
1872,0.16666666666666666
1873,0.09090909090909091
1874,0.21428571428571427
1875,0.07692307692307693
1876,0.17647058823529413
1877,0.0
1878,0.13333333333333333
1879,0.07142857142857142
1880,0.15789473684210525
1881,0.10526315789473684
1882,0.26666666666666666
1883,0.0
1884,0.14285714285714285
1885,0.23076923076923078
1886,0.05555555555555555
1887,0.1
1888,0.26666666666666666
1889,0.0
1890,0.1111111111111111
1891,0.125
1892,0.08333333333333333
1893,0.0
1894,0.13636363636363635
1895,0.0
1896,0.1
1897,0.14285714285714285
1898,0.10526315789473684
1899,0.0
1900,0.2857142857142857
1901,0.1111111111111111
1902,0.13333333333333333
1903,0.11764705882352941
1904,0.13333333333333333
1905,0.08
1906,0.09523809523809523
1907,0.08333333333333333
1908,0.16666666666666666
1909,0.4
1910,0.22727272727272727
1911,0.12
1912,0.20833333333333334
1913,0.25
1914,0.14285714285714285
1915,0.13333333333333333
1916,0.3333333333333333
1917,0.25
1918,0.19047619047619047
1919,0.15625
1920,0.275
1921,0.13333333333333333
1922,0.17857142857142858
1923,0.038461538461538464
1924,0.17647058823529413
1925,0.04
1926,0.18518518518518517
1927,0.15
1928,0.1794871794871795
1929,0.11764705882352941
1930,0.24
1931,0.12121212121212122
1932,0.20512820512820512
1933,0.21052631578947367
1934,0.22727272727272727
1935,0.14285714285714285
1936,0.16129032258064516
1937,0.17647058823529413
1938,0.2222222222222222
1939,0.0
1940,0.25
1941,0.14285714285714285
1942,0.5625
1943,0.15789473684210525
1944,0.2
1945,0.28125
1946,0.26666666666666666
1947,0.22857142857142856
1948,0.1951219512195122
1949,0.2972972972972973
1950,0.23076923076923078
1951,0.3170731707317073
1952,0.2222222222222222
1953,0.4722222222222222
1954,0.2765957446808511
1955,0.3333333333333333
1956,0.21951219512195122
1957,0.3448275862068966
1958,0.39285714285714285
1959,0.38461538461538464
1960,0.22727272727272727
1961,0.34
1962,0.5
1963,0.4423076923076923
1964,0.4489795918367347
1965,0.4117647058823529
1966,0.5348837209302325
1967,0.47368421052631576
1968,0.38095238095238093
1969,0.4222222222222222
1970,0.5625
1971,0.575
1972,0.34146341463414637
1973,0.4583333333333333
1974,0.54
1975,0.28125
1976,0.5454545454545454
1977,0.5238095238095238
1978,0.4909090909090909
1979,0.5490196078431373
1980,0.4117647058823529
1981,0.627906976744186
1982,0.4888888888888889
1983,0.5660377358490566
1984,0.509090909090909
1985,0.5217391304347826
1986,0.6590909090909091
1987,0.5740740740740741
1988,0.5555555555555556
1989,0.47540983606557374
1990,0.47560975609756095
1991,0.4067796610169492
1992,0.47619047619047616
1993,0.49333333333333335
1994,0.5833333333333334
1995,0.46774193548387094
1996,0.5
1997,0.41935483870967744
1998,0.5714285714285714
1999,0.45
2000,0.4583333333333333
2001,0.546875
2002,0.5769230769230769
2003,0.47761194029850745
2004,0.4383561643835616
2005,0.3611111111111111
2006,0.5432098765432098
2007,0.44155844155844154
2008,0.5507246376811594
2009,0.4583333333333333
2010,0.4027777777777778
2011,0.5421686746987951
2012,0.4383561643835616
2013,0.4142857142857143
2014,0.42105263157894735
2015,0.5584415584415584
2016,0.45977011494252873
2017,0.38461538461538464
2018,0.5416666666666666
2019,0.5411764705882353
2020,0.5529411764705883
2021,0.4305555555555556
2022,0.38596491228070173
2023,0.4142857142857143
2024,0.5
