event_id,iso3,office_type,election_year,margin,flag_unopposed,flag_plebiscite,share_metric
1201,SYR,presidential,1999,100.00000000000001,,1.0,vote_share
1200,SYR,presidential,1991,100.00000000000001,,1.0,vote_share
395,EGY,presidential,1965,100.00000000000001,,1.0,vote_share
211,COL,presidential,1949,100.00000000000001,1.0,,vote_share
1173,SOM,presidential,1986,100.00000000000001,,1.0,vote_share
771,LBR,presidential,1959,100.00000000000001,,,vote_share
165,CAF,presidential,1964,100.00000000000001,,1.0,vote_share
1199,SYR,presidential,1985,100.00000000000001,,1.0,vote_share
394,EGY,presidential,1958,100.00000000000001,,1.0,vote_share
5086,RUS,parliamentary,1966,100.0,,,seat_share
5085,RUS,parliamentary,1962,100.0,,,seat_share
5090,RUS,parliamentary,1984,100.0,,,seat_share
2543,CZE,parliamentary,1948,100.0,,,seat_share
4332,MSR,parliamentary,1970,100.0,,,seat_share
5539,SWZ,parliamentary,1967,100.0,,,seat_share
5819,TUN,parliamentary,1956,100.0,,,seat_share
3384,HND,parliamentary,1942,100.0,,,seat_share
3932,LSO,parliamentary,1993,100.0,,,seat_share
5158,VCT,parliamentary,1951,100.0,,,seat_share
2544,CZE,parliamentary,1954,100.0,,,seat_share
