column,dtype,missing_n,missing_share
completeness_score,float64,6501,0.9998462011688711
ideo_ok_both,object,6501,0.9998462011688711
name_len,float64,6501,0.9998462011688711
dup_resolution_reason,object,6501,0.9998462011688711
dpi_herftot_pre1,float64,6434,0.9895416794832359
dpi_herftot_post1,float64,6428,0.9886188864964627
month,float64,6308,0.9701630267609966
id,float64,6308,0.9701630267609966
country_code_clea,float64,6308,0.9701630267609966
dpi_gov3rlc_code_pre1,Int64,5931,0.9121808674254076
dpi_gov3rlc_code_post1,Int64,5886,0.9052599200246079
dpi_gov2rlc_code_pre1,Int64,5596,0.8606582589972316
dpi_gov2rlc_code_post1,Int64,5561,0.8552752999077207
candidate_2_name_raw,object,5359,0.8242079360196862
market_winner,boolean,5269,0.8103660412180868
ideo_diff,float64,5269,0.8103660412180868
close_10pp,boolean,5269,0.8103660412180868
market_margin,float64,5269,0.8103660412180868
close_1pp,boolean,5269,0.8103660412180868
close_2pp,boolean,5269,0.8103660412180868
close_5pp,boolean,5269,0.8103660412180868
round2_used,object,5238,0.8055982774530913
candidate_1_name_raw,object,5238,0.8055982774530913
party_2_clea_id,Int64,4985,0.7666871731774838
party_1_clea_id,Int64,4921,0.7568440479852353
dpi_oppfrac_pre1,float64,4830,0.742848354352507
dpi_herfopp_pre1,float64,4826,0.7422331590279914
dpi_opp1rlc_code_pre1,Int64,4820,0.7413103660412181
dpi_oppfrac_post1,float64,4752,0.730852045524454
dpi_opp1rlc_code_post1,Int64,4751,0.7306982466933252
dpi_herfopp_post1,float64,4748,0.7302368501999384
runnerup_ideo_ok,boolean,4745,0.7297754537065518
runnerup_ideo_source,object,4745,0.7297754537065518
runnerup_ideo_vparty,float64,4745,0.7297754537065518
runnerup_ideo_gap,Float64,4745,0.7297754537065518
runnerup_ideo_year,Int64,4745,0.7297754537065518
dpi_polariz_post1,float64,4643,0.7140879729314057
dpi_polariz_pre1,float64,4591,0.7060904337127037
dpi_frac_pre1,float64,4507,0.6931713318978776
dpi_herfgov_pre1,float64,4484,0.6896339587819132
dpi_govfrac_pre1,float64,4484,0.6896339587819132
dpi_gov1rlc_code_pre1,Int64,4470,0.6874807751461088
dpi_frac_post1,float64,4442,0.6831744078745001
dpi_gov1rlc_code_post1,Int64,4426,0.680713626576438
dpi_govfrac_post1,float64,4418,0.679483235927407
dpi_herfgov_post1,float64,4418,0.679483235927407
dpi_execrlc_code_post1,Int64,4362,0.6708705013841895
dpi_execrlc_code_pre1,Int64,4340,0.6674869270993541
winner_ideo_gap,Float64,4324,0.6650261458012919
winner_ideo_ok,boolean,4324,0.6650261458012919
winner_ideo_source,object,4324,0.6650261458012919
winner_ideo_vparty,float64,4324,0.6650261458012919
winner_ideo_year,Int64,4324,0.6650261458012919
dpi_opp1rlc_post1,object,4318,0.6641033528145186
dpi_gov2rlc_post1,object,4317,0.6639495539833897
dpi_gov1rlc_post1,object,4314,0.6634881574900031
dpi_gov3rlc_post1,object,4307,0.6624115656721009
dpi_execrlc_post1,object,4304,0.6619501691787142
dpi_ifs_post1,object,4298,0.661027376191941
dpi_countryname_post1,object,4298,0.661027376191941
dpi_gov2rlc_pre1,object,4262,0.6554906182713012
dpi_opp1rlc_pre1,object,4261,0.6553368194401723
dpi_gov1rlc_pre1,object,4257,0.6547216241156567
dpi_execrlc_pre1,object,4253,0.6541064287911412
dpi_gov3rlc_pre1,object,4251,0.6537988311288834
dpi_ifs_pre1,object,4246,0.653029836973239
dpi_countryname_pre1,object,4246,0.653029836973239
runnerup_party_match_alias_source,object,3977,0.6116579513995694
runnerup_partyfacts_id,Int64,3977,0.6116579513995694
winner_partyfacts_id,Int64,3470,0.5336819440172255
winner_party_match_alias_source,object,3470,0.5336819440172255
runnerup_party_match_score,float64,2166,0.3331282682251615
runnerup_party_match_alias,object,2166,0.3331282682251615
share_sum12,float64,1668,0.25653645032297756
margin,float64,1668,0.25653645032297756
share_2,float64,1668,0.25653645032297756
party_2_name_raw,object,1668,0.25653645032297756
winner_party_match_alias,object,1495,0.2299292525376807
winner_party_match_score,float64,1495,0.2299292525376807
share_1,float64,1039,0.1597969855429099
party_1_name_raw,object,1029,0.15825899723162104
share_metric,object,1029,0.15825899723162104
date,datetime64[ns],544,0.08366656413411258
country_cow,float64,426,0.06551830206090434
election_date,datetime64[ns],350,0.0538295908951092
election_day,Int64,350,0.0538295908951092
election_month,Int64,349,0.053675792063980314
type_election_raw,object,194,0.029836973239003382
year,float64,194,0.029836973239003382
iso3,object,2,0.00030759766225776686
ideo_both_ok,boolean,0,0.0
decade,int64,0,0.0
election_month_int,int64,0,0.0
source_election_id,float64,0,0.0
dpi_year_post1,Int64,0,0.0
flag_non_partisan,bool,0,0.0
flag_two_round,bool,0,0.0
flag_inconsequential,bool,0,0.0
flag_coup,bool,0,0.0
flag_plebiscite,bool,0,0.0
flag_unopposed,bool,0,0.0
flag_indirect,bool,0,0.0
election_year,Int64,0,0.0
date_precision,object,0,0.0
office_type,object,0,0.0
source,object,0,0.0
flag_constituent,bool,0,0.0
flag_vacant_seats,bool,0,0.0
flag_appointed,bool,0,0.0
iso3_match_status,object,0,0.0
dpi_year_pre1,Int64,0,0.0
source_priority,int64,0,0.0
efw_country,bool,0,0.0
efw_post2000,boolean,0,0.0
event_id,int64,0,0.0
runnerup_party_name_std,object,0,0.0
winner_party_name_std,object,0,0.0
runnerup_party_match_status,object,0,0.0
winner_party_match_status,object,0,0.0
runnerup_party_match_method,object,0,0.0
winner_party_match_method,object,0,0.0
runnerup_party_match_tie,bool,0,0.0
winner_party_match_tie,bool,0,0.0
country_name_raw,object,0,0.0
analysis_ideo_ok,boolean,0,0.0
