iso3,n_events_backlog
CAN,40
AUS,32
PHL,18
ZWE,17
GMB,16
KWT,15
NGA,15
HND,14
ZAF,13
ZMB,12
NZL,12
GHA,11
GIB,11
IRL,11
LBR,10
IND,9
SLE,9
MMR,8
FJI,8
IRN,8
GBR,8
MYS,8
VGB,8
TCA,8
KNA,7
BGR,7
JPN,7
MSR,7
DMA,7
NIC,7
CYM,6
KEN,6
KOR,6
BOL,6
SLB,6
TZA,6
WSM,6
NPL,5
SOM,5
MDV,5
GTM,5
UGA,5
ABW,5
EGY,5
FRA,5
CMR,5
ARG,5
AIA,4
USA,4
URY,4
MNE,4
MWI,4
NAM,4
TTO,4
YEM,4
LKA,4
ESP,4
TJK,4
SLV,4
BFA,4
GRC,4
SVN,4
RUS,3
SGP,3
PER,3
PAK,3
BHS,3
BGD,3
CIV,3
UKR,3
SWZ,3
KHM,3
GIN,3
HKG,3
COM,3
ETH,3
CZE,3
DZA,3
KGZ,3
ARM,2
JAM,2
PNG,2
POL,2
ROU,2
GAB,2
IDN,2
SEN,2
HTI,2
TGO,2
GUY,2
TCD,2
PAN,2
BRA,2
MRT,2
TUN,2
VEN,2
NER,2
LVA,2
MAR,2
MUS,2
BEN,2
BRB,2
MCO,2
CYP,2
SYC,1
SYR,1
ALB,1
VCT,1
AZE,1
BDI,1
TLS,1
TON,1
TWN,1
TUR,1
VNM,1
UZB,1
GEO,1
SVK,1
SUR,1
GRL,1
FIN,1
ECU,1
ISL,1
JOR,1
KIR,1
COL,1
LAO,1
COG,1
LTU,1
MEX,1
MLI,1
MNG,1
CHE,1
CAF,1
BWA,1
BTN,1
BMU,1
PRT,1
PRY,1
RWA,1
BIH,1
SSD,1
LBY,1
