column,dtype
source_election_id,float64
country_name_raw,object
country_cow,float64
date,datetime64[ns]
year,float64
month,float64
type_election_raw,object
flag_two_round,float64
flag_inconsequential,float64
flag_coup,float64
flag_plebiscite,float64
flag_unopposed,float64
flag_indirect,float64
candidate_1_name_raw,object
candidate_2_name_raw,object
party_1_name_raw,object
party_2_name_raw,object
share_1,float64
share_2,float64
round2_used,object
share_metric,object
margin,float64
election_date,datetime64[ns]
election_year,Int64
election_month,Int64
election_day,Int64
date_precision,object
office_type,object
source,object
flag_constituent,float64
flag_vacant_seats,float64
flag_appointed,float64
flag_non_partisan,float64
iso3,string
iso3_match_status,object
source_priority,int64
party_1_clea_id,Int64
party_2_clea_id,Int64
id,float64
country_code_clea,float64
efw_country,bool
efw_post2000,boolean
event_id,int64
runnerup_partyfacts_id,Int64
winner_partyfacts_id,Int64
runnerup_party_name_std,object
winner_party_name_std,object
runnerup_party_match_status,object
winner_party_match_status,object
runnerup_party_match_method,object
winner_party_match_method,object
runnerup_party_match_score,float64
winner_party_match_score,float64
runnerup_party_match_alias,object
winner_party_match_alias,object
runnerup_party_match_alias_source,object
winner_party_match_alias_source,object
runnerup_party_match_tie,bool
winner_party_match_tie,bool
runnerup_ideo_vparty,float64
winner_ideo_vparty,float64
runnerup_ideo_year,Int64
winner_ideo_year,Int64
runnerup_ideo_gap,Float64
winner_ideo_gap,Float64
runnerup_ideo_ok,boolean
winner_ideo_ok,boolean
runnerup_ideo_source,object
winner_ideo_source,object
dpi_year_pre1,Int64
dpi_year_post1,Int64
dpi_countryname_pre1,object
dpi_ifs_pre1,object
dpi_execrlc_pre1,object
dpi_gov1rlc_pre1,object
dpi_gov2rlc_pre1,object
dpi_gov3rlc_pre1,object
dpi_opp1rlc_pre1,object
dpi_herfgov_pre1,float64
dpi_herfopp_pre1,float64
dpi_herftot_pre1,float64
dpi_govfrac_pre1,float64
dpi_oppfrac_pre1,float64
dpi_frac_pre1,float64
dpi_polariz_pre1,float64
dpi_execrlc_code_pre1,Int64
dpi_gov1rlc_code_pre1,Int64
dpi_gov2rlc_code_pre1,Int64
dpi_gov3rlc_code_pre1,Int64
dpi_opp1rlc_code_pre1,Int64
dpi_countryname_post1,object
dpi_ifs_post1,object
dpi_execrlc_post1,object
dpi_gov1rlc_post1,object
dpi_gov2rlc_post1,object
dpi_gov3rlc_post1,object
dpi_opp1rlc_post1,object
dpi_herfgov_post1,float64
dpi_herfopp_post1,float64
dpi_herftot_post1,float64
dpi_govfrac_post1,float64
dpi_oppfrac_post1,float64
dpi_frac_post1,float64
dpi_polariz_post1,float64
dpi_execrlc_code_post1,Int64
dpi_gov1rlc_code_post1,Int64
dpi_gov2rlc_code_post1,Int64
dpi_gov3rlc_code_post1,Int64
dpi_opp1rlc_code_post1,Int64
