event_id,iso3,office_type,election_year,share_sum12,share_metric
3767,JOR,parliamentary,2007,105.76923076923077,seat_share
6100,UGA,parliamentary,1996,101.86915887850466,seat_share
1367,VEN,presidential,1860,101.10000000000001,vote_share
647,IRL,presidential,1945,101.00000000000001,vote_share
551,GIN,presidential,2003,101.0,vote_share
2075,BGR,parliamentary,1939,101.0,seat_share
804,MDG,presidential,2013,101.0,vote_share
4823,PRY,parliamentary,1963,100.3,seat_share
790,MAC,presidential,1999,100.10000000000001,vote_share
913,NIC,presidential,1957,100.10000000000001,vote_share
4912,POL,parliamentary,1935,100.10000000000001,seat_share
4834,PRY,parliamentary,1998,100.1,seat_share
3689,JAM,parliamentary,1955,100.1,seat_share
2495,CUB,parliamentary,1920,100.1,seat_share
3057,DDR,parliamentary,1949,100.1,seat_share
833,MLI,presidential,2013,100.01,vote_share
318,DJI,presidential,1999,100.01,vote_share
1299,USA,presidential,1916,100.00000565832073,vote_share
1317,USA,presidential,1988,100.00000330778371,vote_share
1308,USA,presidential,1952,100.00000326524088,vote_share
