Countries,Cluster,Region,ECONOMIC FREEDOM ALL AREAS
Albania,2,Europe & Central Asia,7.61
Algeria,1,Middle East & North Africa,4.82
Angola,3,Sub-Saharan Africa,5.02
Argentina,3,Latin America & the Caribbean,4.61
Armenia,2,Europe & Central Asia,7.38
Australia,0,East Asia & Pacific,8.09
Austria,0,Europe & Central Asia,7.48
Azerbaijan,1,Europe & Central Asia,5.96
"Bahamas, The",2,Latin America & the Caribbean,6.67
Bahrain,2,Middle East & North Africa,7.31
Bangladesh,3,South Asia,5.79
Barbados,2,Latin America & the Caribbean,6.81
Belarus,1,Europe & Central Asia,6.17
Belgium,0,Europe & Central Asia,7.38
Belize,1,Latin America & the Caribbean,5.97
Benin,2,Sub-Saharan Africa,6.22
Bhutan,2,South Asia,6.55
Bolivia,1,Latin America & the Caribbean,6.04
Bosnia and Herzegovina,2,Europe & Central Asia,6.42
Botswana,1,Sub-Saharan Africa,6.82
Brazil,1,Latin America & the Caribbean,6.32
Brunei Darussalam,0,East Asia & Pacific,7.29
Bulgaria,2,Europe & Central Asia,7.35
Burkina Faso,2,Sub-Saharan Africa,6.24
Burundi,1,Sub-Saharan Africa,5.42
Cabo Verde,2,Sub-Saharan Africa,7.32
Cambodia,2,East Asia & Pacific,6.62
Cameroon,1,Sub-Saharan Africa,5.73
Canada,0,North America,7.76
Central African Republic,3,Sub-Saharan Africa,4.9
Chad,3,Sub-Saharan Africa,5.29
Chile,0,Latin America & the Caribbean,7.59
China,1,East Asia & Pacific,6.15
Colombia,1,Latin America & the Caribbean,6.45
Comoros,1,Sub-Saharan Africa,5.63
"Congo, Dem. Rep.",3,Sub-Saharan Africa,4.96
"Congo, Rep.",3,Sub-Saharan Africa,5.04
Costa Rica,0,Latin America & the Caribbean,7.62
Côte d'Ivoire,1,Sub-Saharan Africa,5.95
Croatia,0,Europe & Central Asia,6.94
Cyprus,0,Europe & Central Asia,7.41
Czechia,0,Europe & Central Asia,7.69
Denmark,0,Europe & Central Asia,7.97
Djibouti,1,Middle East & North Africa,6.42
Dominican Republic,2,Latin America & the Caribbean,7.28
Ecuador,1,Latin America & the Caribbean,6.31
"Egypt, Arab Rep.",1,Middle East & North Africa,5.33
El Salvador,2,Latin America & the Caribbean,7.23
Estonia,0,Europe & Central Asia,7.86
Eswatini,1,Sub-Saharan Africa,5.17
Ethiopia,3,Sub-Saharan Africa,5.22
Fiji,1,East Asia & Pacific,5.76
Finland,0,Europe & Central Asia,7.65
France,0,Europe & Central Asia,7.27
Gabon,1,Sub-Saharan Africa,5.28
"Gambia, The",2,Sub-Saharan Africa,7.17
Georgia,2,Europe & Central Asia,7.41
Germany,0,Europe & Central Asia,7.69
Ghana,2,Sub-Saharan Africa,6.39
Greece,0,Europe & Central Asia,6.78
Guatemala,2,Latin America & the Caribbean,7.64
Guinea,1,Sub-Saharan Africa,5.55
Guinea-Bissau,1,Sub-Saharan Africa,5.33
Guyana,1,Latin America & the Caribbean,5.68
Haiti,2,Latin America & the Caribbean,6.19
Honduras,2,Latin America & the Caribbean,6.93
"Hong Kong SAR, China",0,East Asia & Pacific,8.64
Hungary,0,Europe & Central Asia,7.2
Iceland,0,Europe & Central Asia,7.73
India,2,South Asia,6.6
Indonesia,2,East Asia & Pacific,6.91
"Iran, Islamic Rep.",3,Middle East & North Africa,4.43
Iraq,1,Middle East & North Africa,5.66
Ireland,0,Europe & Central Asia,7.9
Israel,0,Middle East & North Africa,7.34
Italy,0,Europe & Central Asia,7.19
Jamaica,2,Latin America & the Caribbean,7.32
Japan,0,East Asia & Pacific,7.83
Jordan,2,Middle East & North Africa,7.33
