iso3,pc1,pc2,cluster
AGO,-2.5042370450465494,-0.8623010524533856,2
ALB,-0.49121096987035656,1.3306284702629108,0
ARE,1.0123483894826206,-0.7365215265715751,1
ARG,-1.8174894628210618,-0.7350247687559686,3
ARM,-0.4626580146546891,2.03989451474037,0
AUS,1.5455524234549831,-0.8093848304150479,1
AUT,1.4898841358694879,-0.351006454188209,1
AZE,-0.5017751887027093,-0.5799608180657245,0
BEL,2.4575126168316066,-0.7182414794894436,1
BEN,-0.5759692643514321,-0.5342483004248383,3
BFA,0.0009874800091883643,-0.1208747935230467,3
BGD,-1.791123431410515,1.0044387402810042,0
BGR,-1.0798867824408767,2.0993447199444564,0
BHR,1.0164149443173123,0.26295455794099665,1
BHS,1.028733578648889,-1.4798219085127429,1
BIH,0.6197402374545001,2.353298235380928,0
BLR,-1.674390770925127,2.4075165116654973,0
BLZ,1.0717844769493028,-1.3368152923933194,1
BOL,-4.200945734486255,0.3955730623531197,2
BRA,-3.166495913199281,0.6176545189272569,2
BRN,0.7710463456558144,-1.7424166301402007,1
BTN,1.0637466742152395,0.5816269488290833,1
BWA,0.5370837883642106,0.9266260712044102,0
CAF,-1.2498233241332986,-1.603552401108416,3
CAN,1.8923994714104417,-1.0473064962824694,1
CHE,2.2897359488688287,-0.7160122686486396,1
CHL,-0.8387954697670252,1.4968451907401452,0
CHN,0.38337208452949406,1.596673286988309,0
CIV,0.16881554060815177,-1.8011862909470158,3
CMR,-0.5585376228602104,-0.9344064999258507,3
COD,-3.0891216030991635,-1.3332244495564816,3
COG,-0.9974508795997886,-0.4348704805779659,3
COL,0.19875047825417552,-0.926072927071176,3
CPV,0.8031816949097678,1.7517342306866146,0
CRI,0.5664848927784437,0.06251093793472255,1
CYP,0.9881739473410535,1.032570643004407,0
CZE,1.385635306281983,0.5111952296228884,1
DEU,1.9438206262769797,-1.004213104298201,1
DNK,1.337390961881564,-0.14284014072764936,1
DOM,-0.765970529184845,1.3112263778666524,0
DZA,-0.8056089917943648,-1.2341419334857266,3
ECU,-0.2217630386183247,-0.5373630928228657,3
EGY,-0.8813480269443739,0.24505215169705372,3
ESP,0.2820761438969567,0.08626380338856365,1
EST,0.117525640279032,2.8323809301602365,0
ETH,-0.40205686415785935,-0.7545369647850947,3
FIN,1.5833086028495826,-0.5883106809789862,1
FRA,0.9168507288183194,-0.6030593919273886,1
GAB,-0.7397768433831254,-0.9075796542053153,3
GBR,0.8578687175585767,0.14885941373936812,1
GEO,0.012598205885467504,0.27294870206771527,0
GHA,-1.6843095807613002,0.5135723193126488,3
GIN,-0.3127983619744924,-1.3977090065137197,3
GMB,0.996760835319685,-1.0978325064952312,1
GNB,-2.0870731819213892,0.43995291996958896,3
GRC,0.022298448670644077,-0.5528748117405907,3
GTM,-0.46578897646253375,0.3181327994456872,3
GUY,0.32612519242995763,0.32305883088801773,0
HKG,4.81973026704027,1.0462646975208012,1
HND,1.035604320170182,0.9831413208071877,0
HRV,-0.8667185324684373,1.3000960773263925,0
HTI,-0.19268270490709655,-1.7595397925681089,3
HUN,-0.2603082493015429,1.9187463884841385,0
IDN,-0.34770317070395856,1.1343340462421418,0
