anchor,cohort,outcome,event_time,att,se,ci_low,ci_high,spec_id
WTO,all,efw_overall,-10,0.4467647058823532,0.1913659835841014,0.07168737805751446,0.8218420337071919,cs_base
WTO,all,efw_overall,-5,0.6922633262260105,0.219185086097978,0.26266055747397365,1.1218660949780475,cs_base
WTO,all,efw_overall,0,0.19318431599932565,0.16262093657595456,-0.12555271968954526,0.5119213516881965,cs_base
WTO,all,efw_overall,5,0.313744054453009,0.20114667376680045,-0.0805034261299199,0.7079915350359379,cs_base
WTO,all,efw_overall,10,0.5724307036247316,0.2756743936682358,0.032108892034989345,1.1127525152144737,cs_base
WTO,all,efw_overall,15,0.780746268656715,0.37339447515020024,0.04889309736232261,1.5125994399511073,cs_base
WTO,all,reform_event_03,-10,0.8613053613053611,0.21541076538534967,0.4391002611500757,1.2835104614606463,cs_base
WTO,all,reform_event_03,-5,0.13829787234042598,0.3175629323440335,-0.4841254750538796,0.7607212197347316,cs_base
WTO,all,reform_event_03,0,-0.01033040112210283,0.2287409928375309,-0.4586627470836634,0.43800194483945776,cs_base
WTO,all,reform_event_03,5,-0.09793246267410369,0.20501868626842867,-0.4997690877602239,0.30390416241201645,cs_base
WTO,all,reform_event_03,10,0.325227963525836,0.17824666134046094,-0.02413549270146742,0.6745914197531394,cs_base
WTO,all,reform_event_03,15,0.7191489361702132,0.24482288512977896,0.2392960813158465,1.19900179102458,cs_base
WTO,all,reversal_event_03,-10,0.006993006993006943,0.030886035751547088,-0.053543623080025346,0.06752963706603923,cs_base
WTO,all,reversal_event_03,-5,-0.04085251121725271,0.021671033049170275,-0.083327735993626445,0.001622713559121025,cs_base
WTO,all,reversal_event_03,0,0.16442149746243884,0.12479975429002642,-0.08018602094601293,0.4090290158708906,cs_base
WTO,all,reversal_event_03,5,-0.013405034681630562,0.09539872056821011,-0.2003865269953224,0.17357645763206125,cs_base
WTO,all,reversal_event_03,10,0.07396149949341438,0.19908624069270597,-0.31624753226428937,0.46417053125111807,cs_base
WTO,all,reversal_event_03,15,-0.19858156028368792,0.03810722466960217,-0.27327172063610816,-0.12389139993126767,cs_base
WTO,all,hazard_rev_03,-10,-0.041958041958041994,0.04277643449157932,-0.12579985356153744,0.04188376964545347,cs_base
WTO,all,hazard_rev_03,-5,-0.026161528441163616,0.028761426390645804,-0.08253392416682939,0.03021086728450216,cs_base
WTO,all,hazard_rev_03,0,0.11394197283917984,0.12063929086390925,-0.12251103725408227,0.350394982932442,cs_base
WTO,all,hazard_rev_03,5,0.1488471002148817,0.11062312643988992,-0.06797422760730254,0.36566842803706595,cs_base
WTO,all,hazard_rev_03,10,0.1793313069908806,0.17848408004921404,-0.17049748990557892,0.5291601038873401,cs_base
WTO,all,hazard_rev_03,15,0.1432624113475171,0.23363681135200975,-0.314665738902422,0.6011905615974562,cs_base
