iso3,country,year,summary_change,area,area_change,abs_share,signed_share,rank_abs
ARG,Argentina,1975,-2.4299999999999997,d_efw_area3,-5.253653976175213,0.7752022229432655,0.4323995042119517,1.0
BDI,Burundi,1975,-1.5799999999999996,d_efw_area3,-3.21071803750963,0.9111136381863172,0.4064200047480545,1.0
BRB,Barbados,1975,-1.6800000000000006,d_efw_area3,-2.9652768683286714,0.5877860886503876,0.3530091509915084,1.0
BWA,Botswana,1975,-2.1399999999999997,d_efw_area3,-5.241333333333334,0.7924322115114071,0.48984423676012473,1.0
CRI,Costa Rica,1975,-1.0600000000000005,d_efw_area3,-2.159826907073861,0.34911131752189284,0.40751451076865286,1.0
FJI,Fiji,1975,-1.0600000000000005,d_efw_area3,-3.9698268997115598,0.560275630785123,0.7490239433418033,1.0
GUY,Guyana,1975,-1.3899999999999997,d_efw_area3,-4.365170884493838,0.6163172844399644,0.6280821416537898,1.0
IND,India,1975,-0.96,d_efw_area5,-1.936427886437417,0.5976449952920934,0.40342247634112854,1.0
ISL,Iceland,1975,-1.0899999999999999,d_efw_area4,-2.244444444444444,0.33103351539926695,0.41182466870540263,1.0
JAM,Jamaica,1975,-1.2200000000000006,d_efw_area3,-4.13265302503859,0.6632798965582406,0.6774841024653423,1.0
KWT,Kuwait,1975,-1.7299999999999995,d_efw_area3,-3.180731960652402,0.45813118085461313,0.36771467753206966,1.0
MDG,Madagascar,1975,-1.1399999999999997,d_efw_area3,-2.6540675741838093,0.46864306665696776,0.46562589020768597,1.0
MUS,Mauritius,1975,-1.6000000000000005,d_efw_area3,-5.663271107815662,0.7000555151239763,0.7079088884769574,1.0
MWI,Malawi,1975,-1.0700000000000003,d_efw_area1,-2.3057709211760775,0.4319132468571945,0.4309852189114162,1.0
NPL,Nepal,1975,1.06,d_efw_area3,-1.8806017248803544,0.3611530719435865,-0.3548305141283687,1.0
PAK,Pakistan,1975,-1.1600000000000001,d_efw_area1,-3.1052562853426426,0.2955548958000985,0.5353890147142487,1.0
PER,Peru,1975,-1.0300000000000002,d_efw_area4,-2.6007945209741594,0.43076944843827025,0.5050086448493513,1.0
PNG,Papua New Guinea,1975,-1.8399999999999999,d_efw_area3,-3.4716666666666667,0.40599558333168373,0.37735507246376815,1.0
RWA,Rwanda,1975,-1.7700000000000005,d_efw_area3,-4.18500333195303,0.8579777342908901,0.47288173242407117,1.0
TTO,Trinidad and Tobago,1975,-2.04,d_efw_area3,-5.044077942682465,0.7452759221258526,0.49451744536102604,1.0
URY,Uruguay,1975,-1.3200000000000003,d_efw_area3,-2.9764600299433948,0.4497267773620168,0.4509787924156658,1.0
ZMB,Zambia,1975,-1.0900000000000007,d_efw_area1,-2.1031087102880113,0.6216186815437748,0.3858915064748642,1.0
BHR,Bahrain,1980,1.5099999999999998,d_efw_area5,1.99125,0.41336520999317633,0.26374172185430467,1.0
CHL,Chile,1980,1.0900000000000003,d_efw_area4,2.4866624549583163,0.45630831350103634,0.456268340359324,1.0
DOM,Dominican Republic,1980,0.9699999999999998,d_efw_area3,2.2138098563902053,0.45564607505085847,0.45645564049282594,1.0
GBR,United Kingdom,1980,0.9900000000000002,d_efw_area4,2.3015439403057085,0.46676424930620825,0.4649583717789309,1.0
HND,Honduras,1980,-1.1700000000000008,d_efw_area4,-3.1718022584915158,0.5421565339549169,0.5421884202549596,1.0
IRN,"Iran, Islamic Rep.",1980,-1.6500000000000004,d_efw_area4,-6.203254159688949,0.6637862169624403,0.751909595113812,1.0
MEX,Mexico,1980,-1.17,d_efw_area4,-4.274444444444445,0.5537639643998227,0.7306742640075974,1.0
NIC,Nicaragua,1980,-1.8100000000000005,d_efw_area4,-5.777380492455428,0.4944712754006708,0.6383845848017046,1.0
PRT,Portugal,1980,1.1700000000000008,d_efw_area4,3.2222222222222223,0.5517855152856442,0.5508072174738837,1.0
SLV,El Salvador,1980,-1.04,d_efw_area4,-2.866666666666667,0.5527362368458505,0.5512820512820513,1.0
ECU,Ecuador,1985,-1.1399999999999997,d_efw_area4,-3.0967490392261086,0.544177130814859,0.5432893051273876,1.0
GBR,United Kingdom,1985,0.9800000000000004,d_efw_area3,3.214827487998683,0.6556446474735236,0.6560872424487105,1.0
GTM,Guatemala,1985,-0.96,d_efw_area4,-3.6436708748340605,0.6726074543076017,0.7590980989237627,1.0
KWT,Kuwait,1985,1.6500000000000004,d_efw_area3,3.7521191763073594,0.7048769779415024,0.45480232440089197,1.0
MUS,Mauritius,1985,1.46,d_efw_area4,2.876209687193235,0.3953839575430436,0.3940013270127719,1.0
NIC,Nicaragua,1985,-1.7499999999999996,d_efw_area3,-5.993431944583152,0.6469688831418671,0.6849636508095033,1.0
OMN,Oman,1985,1.46,d_efw_area3,4.01095707264202,0.9336174316512273,0.5494461743345233,1.0
