term,estimate,std_error
Intercept,-0.06976755617345407,129918.05251367406
C(iso3)[T.ALB],-0.21357288695776158,80270.7115126673
C(iso3)[T.ARE],-0.4347797397276666,125712.00333071932
C(iso3)[T.ARG],-0.5969501526759762,71132.91010310627
C(iso3)[T.ARM],0.0775767899908529,166307.1265425907
C(iso3)[T.AUS],-0.47925167482155906,84883.7343972811
C(iso3)[T.AUT],-0.42032323067487837,106152.31969718102
C(iso3)[T.AZE],-0.32591708557407045,72963.81978121512
C(iso3)[T.BDI],-0.47802853771645687,100518.80824228682
C(iso3)[T.BEL],-0.5249693031949983,76396.51157106893
C(iso3)[T.BEN],-0.3761342298492466,101482.71547436496
C(iso3)[T.BFA],-0.16116296516668965,
C(iso3)[T.BGD],-0.2380674574263135,74683.65313966825
C(iso3)[T.BGR],-0.37724410937288955,108690.41776279108
C(iso3)[T.BHR],-0.30322705596396177,66533.31722357553
C(iso3)[T.BHS],-0.5358939725630019,91264.13321470996
C(iso3)[T.BIH],-0.2574656388109659,183725.7004088688
C(iso3)[T.BLR],0.16604404072527448,163634.51869941122
C(iso3)[T.BLZ],-0.4660966301829198,103776.88391544782
C(iso3)[T.BOL],-0.38013509479530366,94611.83605950311
C(iso3)[T.BRA],-0.3336221456549354,118873.49725445671
C(iso3)[T.BRB],-0.6041848992572354,105060.02980395821
C(iso3)[T.BRN],-0.24514285438036099,102209.10945362056
C(iso3)[T.BTN],-0.33782373365762614,106767.61725247436
C(iso3)[T.BWA],-0.5456987120549359,117291.50511212314
C(iso3)[T.CAF],-0.39376100852601315,78406.63813109504
C(iso3)[T.CAN],-0.5074013269762518,59894.83798509703
C(iso3)[T.CHE],-0.4564395227842358,108447.17602907027
C(iso3)[T.CHL],-0.1870733805022746,139222.51741052567
C(iso3)[T.CHN],-0.2562085812420757,88418.32561015675
C(iso3)[T.CIV],-0.4293380082692292,141842.22373929239
C(iso3)[T.CMR],-0.36543917714687657,110668.30193481962
C(iso3)[T.COD],-0.4436332385512109,207346.46954778171
C(iso3)[T.COG],-0.38513480516960324,172593.09068200813
C(iso3)[T.COL],-0.423250461368955,180822.58155617965
C(iso3)[T.CPV],-0.10028179771670753,658032.407851214
C(iso3)[T.CRI],-0.5356753002116376,210514.54904350144
C(iso3)[T.CYP],-0.4107081212997979,104536.7382272745
C(iso3)[T.CZE],-0.5917972015251391,
C(iso3)[T.DEU],-0.5108876387666899,162819.29924014155
C(iso3)[T.DNK],-0.4231086484579456,25939.23726659328
C(iso3)[T.DOM],-0.14895511306774548,128781.88331973327
C(iso3)[T.DZA],-0.49250128787027936,161144.06784741452
C(iso3)[T.ECU],-0.3219386455801607,139330.57222691507
C(iso3)[T.EGY],-0.43322272777671483,178387.03893868483
C(iso3)[T.ESP],-0.37401106523906086,177195.28587353823
C(iso3)[T.EST],-0.2370036916941691,114387.53003658412
C(iso3)[T.ETH],-0.17990035007487645,316529.97096351295
C(iso3)[T.FIN],-0.5436745936790887,379368.3757404247
C(iso3)[T.FJI],-0.5541384947060415,191935.08448950513
C(iso3)[T.FRA],-0.3539915127445063,57816.67788363078
C(iso3)[T.GAB],-0.3017661553297567,
C(iso3)[T.GBR],-0.30217495710836817,117989.89520224772
C(iso3)[T.GEO],-0.12102825786866198,263071.7114364472
C(iso3)[T.GHA],-0.31610390992580656,
C(iso3)[T.GIN],-0.49875373344245894,
C(iso3)[T.GMB],-0.03278717518265333,230687.80900417155
C(iso3)[T.GNB],-0.2743359347394314,194245.07732160456
C(iso3)[T.GRC],-0.39817812622590687,168575.65131102424
C(iso3)[T.GTM],-0.256252231992948,19284.348894935694
C(iso3)[T.GUY],-0.45695387304122437,320328.21769193216
C(iso3)[T.HKG],-0.4641460389189016,
C(iso3)[T.HND],-0.44336837768151094,217716.21963922662
C(iso3)[T.HRV],-0.17076962480901228,391785.0864321933
C(iso3)[T.HTI],-0.4268106317849695,107211.83488884344
C(iso3)[T.HUN],-0.32901195804280203,95148.50399176203
C(iso3)[T.IDN],-0.23883269474927493,97489.794696574
C(iso3)[T.IND],-0.40448078552652095,110670.37799715486
C(iso3)[T.IRL],-0.39638206962074257,114050.34335639591
C(iso3)[T.IRN],-0.6210390334764919,108021.8990104858
C(iso3)[T.IRQ],0.3266636504341899,108328.59317198499
C(iso3)[T.ISL],-0.3658865449704024,100635.11635016708
C(iso3)[T.ISR],-0.2717539708728094,97360.47296216182
C(iso3)[T.ITA],-0.4064950898721331,111388.07954452315
C(iso3)[T.JAM],-0.4199082401913907,107908.24418726008
C(iso3)[T.JOR],-0.2657989639354667,103172.95129147102
C(iso3)[T.JPN],-0.44735271246303976,104673.50303251324
C(iso3)[T.KAZ],-0.08930745633733093,89907.42740093
C(iso3)[T.KEN],-0.3048741031871313,107742.0948373884
C(iso3)[T.KGZ],0.05992528296575145,95937.60865800796
C(iso3)[T.KHM],-0.1319776898770376,107892.78549334283
C(iso3)[T.KOR],-0.3194280371393433,99565.1328350118
C(iso3)[T.KWT],-0.500566448644617,100126.36603107976
C(iso3)[T.LAO],0.2393927870205767,104567.17407727102
C(iso3)[T.LBN],-0.37489063967381686,111822.02124856121
C(iso3)[T.LBR],0.007262511607326272,94134.8568563065
C(iso3)[T.LBY],0.060752407348951376,106964.10397604144
C(iso3)[T.LKA],-0.37501429893936195,106637.5025434882
C(iso3)[T.LSO],0.06637589267305244,102710.24607725939
C(iso3)[T.LTU],-0.3731180422764544,115178.4932918272
