iso3,n_episodes,worst_growth,mean_efw
ARG,1,-10.8944848285903,6.2
ARM,1,-14.1000000006998,7.14
BHS,1,-20.0893664891399,6.67
BLZ,1,-13.5228997055506,5.97
BOL,1,-12.7194690092717,6.04
BRB,1,-14.3647119341564,6.81
BTN,1,-10.2183974208569,6.55
BWA,1,-14.1442346163423,6.28
CAF,1,-36.3919770983887,5.05
CPV,1,-20.8052758990735,7.32
ESP,1,-10.9400706350371,7.48
EST,1,-14.6302225427906,7.9
FJI,1,-17.1835352599354,5.76
GBR,1,-10.047896637362,7.73
IRQ,2,-36.6567804383165,4.07
LBN,1,-21.3998996914321,5.19
LBR,1,-30.145132727942,4.45
LBY,5,-50.3385151384986,4.220000000000001
LTU,1,-14.8386117894848,7.38
LVA,1,-16.0400195313042,7.66
MDG,1,-12.4079711055149,5.64
MMR,1,-12.0163724829177,5.03
MNE,1,-14.9926187023533,7.29
MUS,1,-14.5465381490166,7.66
PAN,1,-17.8212299459324,7.49
PER,1,-10.9333065010382,7.45
SDN,2,-29.4332718325149,4.275
SUR,1,-15.9751917148622,5.7
SYC,1,-11.7398608281732,7.21
SYR,3,-26.3390170772532,4.486666666666667
TLS,2,-20.5224785561874,5.97
UKR,3,-28.7585842155085,5.25
VEN,5,-29.9985699155957,2.752
YEM,2,-27.9945462502541,5.495
ZWE,2,-17.6689987958491,4.205
