iso3,year_min,year_max,n_years,max_inflation,mean_efw
AGO,2000,2003,4,324.996871601321,3.7575000000000003
ARG,2019,2023,3,133.488935594175,4.816666666666666
BLR,2000,2012,4,168.620235850934,3.84
COD,2000,2001,2,513.906843747535,3.415
DOM,2004,2004,1,51.4608598338065,5.94
ECU,2000,2000,1,96.0963756926096,5.92
IRQ,2006,2006,1,53.230962911428,3.4
LBN,2020,2023,4,221.341644023365,5.36
MMR,2002,2002,1,57.0745112621703,3.22
SDN,2018,2022,5,359.093040778999,3.836
SRB,2000,2001,2,95.0052258100006,4.175
SUR,2016,2023,4,59.1196626251977,5.595
TUR,2000,2023,4,72.3088359891207,5.612500000000001
VEN,2014,2016,3,254.948534781816,2.8033333333333332
ZWE,2019,2022,4,557.201817362051,3.9450000000000003
