variable,n_obs,n_total,coverage_pct,n_countries,year_min,year_max
gdppc_filled,5151,5425,94.94930875576037,213,2000,2024
NY.GDP.MKTP.KD.ZG,5160,5425,95.11520737327189,214,2000,2024
FP.CPI.TOTL.ZG,4516,5425,83.2442396313364,193,2000,2024
trade_openness_filled,4412,5425,81.32718894009217,191,2000,2024
investment_gfcf_filled,4104,5425,75.64976958525345,178,2000,2024
govt_consumption_filled,4205,5425,77.51152073732719,185,2000,2024
SP.POP.TOTL,5425,5425,100.0,217,2000,2024
SL.UEM.TOTL.ZS,4666,5425,86.00921658986175,187,2000,2024
FS.AST.PRVT.GD.ZS,3982,5425,73.40092165898618,186,2000,2024
BX.KLT.DINV.WD.GD.ZS,4932,5425,90.91244239631337,202,2000,2024
BN.CAB.XOKA.GD.ZS,4395,5425,81.01382488479263,197,2000,2024
GC.TAX.TOTL.GD.ZS,2939,5425,54.175115207373274,155,2000,2024
GC.DOD.TOTL.GD.ZS,1111,5425,20.47926267281106,86,2000,2024
FM.LBL.BMNY.GD.ZS,3776,5425,69.6036866359447,165,2000,2024
wgi_control_corruption,4619,5425,85.14285714285714,205,2000,2023
wgi_govt_effectiveness,4602,5425,84.82949308755761,205,2000,2023
wgi_political_stability,4653,5425,85.76958525345623,205,2000,2023
wgi_regulatory_quality,4602,5425,84.82949308755761,205,2000,2023
wgi_rule_of_law,4683,5425,86.3225806451613,205,2000,2023
wgi_voice_accountability,4654,5425,85.78801843317973,205,2000,2023
SE.SEC.ENRR,3562,5425,65.6589861751152,203,2000,2024
SI.POV.GINI,1834,5425,33.806451612903224,168,2000,2024
SP.DYN.LE00.IN,5208,5425,96.0,217,2000,2023
NY.GDP.TOTL.RT.ZS,4535,5425,83.59447004608295,214,2000,2021
SL.TLF.CACT.ZS,4666,5425,86.00921658986175,187,2000,2024
