variable,n_obs,n_total,coverage_pct,n_countries,year_min,year_max
gdppc_filled,2136,2420,88.26446280991736,213,1970,2020
NY.GDP.MKTP.KD.ZG,2052,2420,84.79338842975207,214,1970,2020
FP.CPI.TOTL.ZG,1666,2420,68.84297520661157,193,1970,2020
trade_openness_filled,2080,2420,85.9504132231405,211,1970,2020
investment_gfcf_filled,2024,2420,83.63636363636364,205,1970,2020
govt_consumption_filled,2034,2420,84.0495867768595,206,1970,2020
SP.POP.TOTL,2383,2420,98.47107438016529,217,1970,2020
SL.UEM.TOTL.ZS,1309,2420,54.09090909090909,187,1990,2020
FS.AST.PRVT.GD.ZS,1425,2420,58.88429752066116,186,1970,2020
BX.KLT.DINV.WD.GD.ZS,1910,2420,78.92561983471074,202,1970,2020
BN.CAB.XOKA.GD.ZS,1561,2420,64.50413223140495,199,1970,2020
GC.TAX.TOTL.GD.ZS,1026,2420,42.396694214876035,161,1970,2020
GC.DOD.TOTL.GD.ZS,412,2420,17.024793388429753,108,1970,2020
FM.LBL.BMNY.GD.ZS,1539,2420,63.59504132231405,166,1970,2020
wgi_control_corruption,1184,2420,48.925619834710744,205,1995,2020
wgi_govt_effectiveness,1177,2420,48.63636363636363,205,1995,2020
wgi_political_stability,1190,2420,49.17355371900826,205,1995,2020
wgi_regulatory_quality,1178,2420,48.67768595041322,205,1995,2020
wgi_rule_of_law,1214,2420,50.16528925619835,205,1995,2020
wgi_voice_accountability,1213,2420,50.12396694214876,205,1995,2020
gdppc_pwt_scaled,1859,2420,76.81818181818181,179,1970,2020
trade_openness_pwt,1903,2420,78.63636363636364,183,1970,2020
investment_share_pwt,1903,2420,78.63636363636364,183,1970,2020
govt_consumption_share_pwt,1903,2420,78.63636363636364,183,1970,2020
SE.SEC.ENRR,1477,2420,61.03305785123967,208,1970,2020
SI.POV.GINI,902,2420,37.27272727272727,171,1970,2020
SP.DYN.LE00.IN,2383,2420,98.47107438016529,217,1970,2020
NY.GDP.TOTL.RT.ZS,1991,2420,82.27272727272727,214,1970,2020
SL.TLF.CACT.ZS,1309,2420,54.09090909090909,187,1990,2020
