variable,2000,2010,2020
BN.CAB.XOKA.GD.ZS,76.7741935483871,85.76036866359448,80.0
BX.KLT.DINV.WD.GD.ZS,90.59907834101382,91.5668202764977,90.23041474654377
FM.LBL.BMNY.GD.ZS,73.54838709677419,71.79723502304148,57.327188940092164
FP.CPI.TOTL.ZG,80.92165898617512,86.58986175115207,81.19815668202764
FS.AST.PRVT.GD.ZS,68.7557603686636,79.81566820276498,69.86175115207374
GC.DOD.TOTL.GD.ZS,18.70967741935484,24.055299539170505,16.86635944700461
GC.TAX.TOTL.GD.ZS,48.47926267281106,63.59447004608295,46.72811059907834
NY.GDP.MKTP.KD.ZG,93.77880184331798,96.7741935483871,94.47004608294931
NY.GDP.TOTL.RT.ZS,94.19354838709677,96.31336405529954,36.95852534562212
SE.SEC.ENRR,66.95852534562212,67.51152073732719,59.354838709677416
SI.POV.GINI,33.04147465437788,38.433179723502306,26.08294930875576
SL.TLF.CACT.ZS,86.17511520737327,86.17511520737327,85.34562211981567
SL.UEM.TOTL.ZS,86.17511520737327,86.17511520737327,85.34562211981567
SP.DYN.LE00.IN,100.0,100.0,80.0
SP.POP.TOTL,100.0,100.0,100.0
gdppc_filled,93.87096774193549,96.58986175115207,93.82488479262673
govt_consumption_filled,75.76036866359448,80.46082949308756,75.11520737327189
investment_gfcf_filled,73.31797235023042,77.83410138248848,75.9447004608295
trade_openness_filled,79.21658986175115,83.54838709677419,81.10599078341014
wgi_control_corruption,81.05990783410138,94.00921658986175,75.57603686635944
wgi_govt_effectiveness,80.3225806451613,93.963133640553,75.57603686635944
wgi_political_stability,82.21198156682027,94.42396313364056,75.57603686635944
wgi_regulatory_quality,80.3225806451613,93.963133640553,75.57603686635944
wgi_rule_of_law,83.68663594470046,94.33179723502305,75.57603686635944
wgi_voice_accountability,83.68663594470046,93.45622119815668,74.65437788018433
