variable,1970,1980,1990,2000,2010,2020
BN.CAB.XOKA.GD.ZS,26.136363636363637,57.27272727272727,65.9090909090909,77.04545454545455,86.36363636363636,84.0909090909091
BX.KLT.DINV.WD.GD.ZS,55.45454545454545,67.72727272727273,85.45454545454545,89.31818181818181,90.68181818181819,90.9090909090909
FM.LBL.BMNY.GD.ZS,46.59090909090909,55.45454545454545,66.81818181818181,72.95454545454545,73.63636363636364,68.63636363636364
FP.CPI.TOTL.ZG,45.90909090909091,55.45454545454545,68.63636363636364,80.0,86.81818181818181,83.63636363636364
FS.AST.PRVT.GD.ZS,36.81818181818182,45.0,52.5,68.86363636363636,81.5909090909091,78.18181818181819
GC.DOD.TOTL.GD.ZS,0.22727272727272727,0.0,27.954545454545453,24.318181818181817,27.272727272727273,27.727272727272727
GC.TAX.TOTL.GD.ZS,18.636363636363637,22.954545454545453,42.27272727272727,51.59090909090909,65.22727272727273,65.0
NY.GDP.MKTP.KD.ZG,65.45454545454545,75.9090909090909,88.86363636363636,92.27272727272727,95.9090909090909,95.9090909090909
NY.GDP.TOTL.RT.ZS,60.0,70.45454545454545,84.77272727272727,93.86363636363636,95.9090909090909,95.0
SE.SEC.ENRR,45.68181818181818,48.18181818181818,43.63636363636363,77.95454545454545,81.36363636363636,77.72727272727273
SI.POV.GINI,2.5,15.909090909090908,39.31818181818182,57.04545454545455,61.36363636363637,57.72727272727273
SL.TLF.CACT.ZS,0.0,0.0,85.0,85.0,85.0,85.0
SL.UEM.TOTL.ZS,0.0,0.0,85.0,85.0,85.0,85.0
SP.DYN.LE00.IN,98.18181818181819,98.18181818181819,98.63636363636364,98.63636363636364,98.63636363636364,98.63636363636364
SP.POP.TOTL,98.18181818181819,98.18181818181819,98.63636363636364,98.63636363636364,98.63636363636364,98.63636363636364
gdppc_filled,77.27272727272727,80.0,90.68181818181819,93.86363636363636,96.13636363636364,95.0
gdppc_pwt_scaled,69.54545454545455,69.54545454545455,80.45454545454545,80.9090909090909,81.36363636363636,81.36363636363636
govt_consumption_filled,73.4090909090909,75.68181818181819,86.13636363636364,89.31818181818181,91.81818181818181,91.81818181818181
govt_consumption_share_pwt,71.36363636363636,71.36363636363636,82.27272727272727,82.72727272727273,83.18181818181819,83.18181818181819
investment_gfcf_filled,73.4090909090909,74.77272727272727,86.36363636363636,88.4090909090909,91.36363636363636,91.36363636363636
investment_share_pwt,71.36363636363636,71.36363636363636,82.27272727272727,82.72727272727273,83.18181818181819,83.18181818181819
trade_openness_filled,74.31818181818181,75.9090909090909,88.4090909090909,92.27272727272727,94.54545454545455,94.54545454545455
trade_openness_pwt,71.36363636363636,71.36363636363636,82.27272727272727,82.72727272727273,83.18181818181819,83.18181818181819
wgi_control_corruption,0.0,0.0,41.81818181818182,87.95454545454545,92.72727272727273,93.18181818181819
wgi_govt_effectiveness,0.0,0.0,41.13636363636363,87.04545454545455,92.72727272727273,93.18181818181819
wgi_political_stability,0.0,0.0,42.27272727272727,88.4090909090909,93.18181818181819,93.18181818181819
wgi_regulatory_quality,0.0,0.0,41.36363636363637,87.04545454545455,92.72727272727273,93.18181818181819
wgi_rule_of_law,0.0,0.0,44.77272727272727,91.36363636363636,93.18181818181819,93.18181818181819
wgi_voice_accountability,0.0,0.0,45.0,91.36363636363636,93.18181818181819,92.27272727272727
