year,gdppc_wb,pwt_gdppc,gdppc_growth_5y,pwt_tfp_growth_5y,pwt_capital_growth_5y,pwt_inv_share,gini_net,gini_market,electoral_democracy,liberal_democracy
1970,123,139,0,0,0,139,0,0,157,155
1975,126,139,123,80,81,139,0,0,158,156
1980,134,139,126,90,95,139,0,0,159,157
1985,139,139,134,102,110,139,0,0,159,157
1990,161,161,139,102,110,161,0,0,159,157
1995,162,161,161,102,110,161,0,0,161,159
2000,163,161,162,117,130,161,0,0,162,161
2005,163,161,163,117,130,161,0,0,162,162
2010,163,161,163,117,130,161,0,0,162,162
2015,164,161,163,117,130,161,0,0,162,162
2020,163,0,163,0,0,0,0,0,162,162
