variable,n_present,n_missing,pct_missing,coverage_pct
ECONOMIC FREEDOM ALL AREAS,3889,1560,28.629106258028997,71.370893741971
Area 1 Size of Government,3926,1523,27.95008258396036,72.04991741603963
Area 2 Legal System & Property Rights -- With Gender Adjustment,3903,1546,28.372178381354377,71.62782161864563
Area 3 Sound Money,3940,1509,27.69315470728574,72.30684529271426
Area 4 Freedom to trade internationally,3585,1864,34.20811158010644,65.79188841989355
Area 5 Regulation,3960,1489,27.326114883464857,72.67388511653515
gdppc_filled,5151,298,5.46889337493118,94.53110662506882
NY.GDP.MKTP.KD.ZG,5160,289,5.303725454211782,94.69627454578821
FP.CPI.TOTL.ZG,4516,933,17.122407781244267,82.87759221875574
trade_openness_filled,4412,1037,19.031014865112866,80.96898513488713
investment_gfcf_filled,4104,1345,24.683428151954487,75.31657184804551
govt_consumption_filled,4205,1244,22.82987704165902,77.17012295834098
SP.POP.TOTL,5425,24,0.4404477885850615,99.55955221141494
SL.UEM.TOTL.ZS,4666,783,14.369609102587631,85.63039089741237
FS.AST.PRVT.GD.ZS,3982,1467,26.922371077261882,73.07762892273811
BX.KLT.DINV.WD.GD.ZS,4932,517,9.487979445769867,90.51202055423013
BN.CAB.XOKA.GD.ZS,4395,1054,19.342998715360615,80.65700128463938
GC.TAX.TOTL.GD.ZS,2939,2510,46.06349788952101,53.93650211047899
GC.DOD.TOTL.GD.ZS,1111,4338,79.61093778674986,20.38906221325014
FM.LBL.BMNY.GD.ZS,3776,1673,30.702881262616994,69.297118737383
wgi_control_corruption,4619,830,15.232152688566709,84.76784731143329
wgi_govt_effectiveness,4602,847,15.544136538814461,84.45586346118554
wgi_political_stability,4653,796,14.608184988071205,85.3918150119288
wgi_regulatory_quality,4602,847,15.544136538814461,84.45586346118554
wgi_rule_of_law,4683,766,14.057625252339879,85.94237474766012
wgi_voice_accountability,4654,795,14.589832996880162,85.41016700311984
SE.SEC.ENRR,3562,1887,34.63020737750046,65.36979262249955
SI.POV.GINI,1834,3615,66.34244815562488,33.657551844375114
SP.DYN.LE00.IN,5208,241,4.422829877041659,95.57717012295834
NY.GDP.TOTL.RT.ZS,4535,914,16.773719948614424,83.22628005138557
SL.TLF.CACT.ZS,4666,783,14.369609102587631,85.63039089741237
