horizon,term,coef,std_err,t_stat,p_value,nobs,outcome,spec
0,d_efw_summary,0.058654993290245296,0.01027220797808636,5.71006675637542,1.5864193736447874e-08,972,gdppc_growth_5y,summary_linear
1,d_efw_summary,0.012397734409189872,0.011749436695301738,1.0551769187494213,0.2917236276565891,834,gdppc_growth_5y,summary_linear
2,d_efw_summary,0.008860142584994643,0.01298277991460988,0.6824534224002426,0.495248766499621,691,gdppc_growth_5y,summary_linear
3,d_efw_summary,-0.01979012403983507,0.015017343613906256,-1.317817887679493,0.1883058845762695,551,gdppc_growth_5y,summary_linear
0,d_efw_area1,0.004469321574340947,0.005328836377544287,0.8387049737865223,0.4018829350790383,972,gdppc_growth_5y,area_linear
1,d_efw_area1,-0.003228769947149815,0.005811787258321269,-0.5555554261775307,0.5786997082019765,834,gdppc_growth_5y,area_linear
2,d_efw_area1,-0.003911390512490784,0.006085427430213968,-0.6427470473266751,0.5206646356415139,691,gdppc_growth_5y,area_linear
3,d_efw_area1,0.005381841052281647,0.006706704770468599,0.8024568303616586,0.42275706551995307,551,gdppc_growth_5y,area_linear
0,d_efw_area2,0.0209874607571675,0.0069648452771478185,3.0133419942620887,0.0026645664399795876,972,gdppc_growth_5y,area_linear
1,d_efw_area2,0.006797370505961004,0.008318568059614565,0.8171322825332459,0.4141424328260994,834,gdppc_growth_5y,area_linear
2,d_efw_area2,0.0018953056359475346,0.009509129250774967,0.19931432058230492,0.8420928891298574,691,gdppc_growth_5y,area_linear
3,d_efw_area2,0.011992710977657016,0.009931422411307646,1.207552199572384,0.2279208135323305,551,gdppc_growth_5y,area_linear
0,d_efw_area3,0.013892579745568616,0.0035693056089422985,3.89223598863686,0.00010751350793491987,972,gdppc_growth_5y,area_linear
1,d_efw_area3,0.002313828481539845,0.003238573380633727,0.7144591798895947,0.4751913892786659,834,gdppc_growth_5y,area_linear
2,d_efw_area3,0.0020294952174230744,0.004270025454349846,0.4752887867110116,0.6347758604422811,691,gdppc_growth_5y,area_linear
3,d_efw_area3,-0.007323775153557619,0.003923393185674624,-1.8666941616503578,0.06266314253635263,551,gdppc_growth_5y,area_linear
0,d_efw_area4,0.00862861320593063,0.005367278616620195,1.6076328102684032,0.10834160014951033,899,gdppc_growth_5y,area_linear
1,d_efw_area4,0.004412448550398565,0.0047771768364184555,0.9236519185893619,0.3560309955717109,764,gdppc_growth_5y,area_linear
2,d_efw_area4,0.005046556470372407,0.004221620626079431,1.195407384357766,0.2325072936128061,631,gdppc_growth_5y,area_linear
3,d_efw_area4,-0.0017804813075008694,0.006514054277869738,-0.27332920966742885,0.7847478772323102,507,gdppc_growth_5y,area_linear
0,d_efw_area5,0.020616605296824225,0.0074392866606826724,2.7713148097632687,0.005712160046055903,967,gdppc_growth_5y,area_linear
1,d_efw_area5,0.007242383447571184,0.006691045103341546,1.08239943621876,0.27946622715916547,829,gdppc_growth_5y,area_linear
2,d_efw_area5,-0.0014543037077311147,0.00837692507083922,-0.17360829844278636,0.8622398467777415,686,gdppc_growth_5y,area_linear
3,d_efw_area5,-0.021913346399818536,0.010159923325835133,-2.1568417100251382,0.03161023165741805,546,gdppc_growth_5y,area_linear
0,d_efw_summary_pos,0.04782801592814186,0.01610786195072365,2.9692342828896154,0.0030738355478110435,972,gdppc_growth_5y,summary_asymmetric
0,d_efw_summary_neg,0.07816229132849908,0.02714422573047589,2.8795181746791623,0.0040882139195206335,972,gdppc_growth_5y,summary_asymmetric
1,d_efw_summary_pos,0.0010303066920829718,0.019295711419789578,0.05339563127101366,0.9574325787527409,834,gdppc_growth_5y,summary_asymmetric
1,d_efw_summary_neg,0.036194933232704174,0.028595066335596584,1.2657754595815325,0.20603279197836422,834,gdppc_growth_5y,summary_asymmetric
2,d_efw_summary_pos,-0.0037500798695304523,0.017988671098392386,-0.20846897744801116,0.8349425918700899,691,gdppc_growth_5y,summary_asymmetric
2,d_efw_summary_neg,0.03644569123866947,0.020683827553160488,1.7620380534018023,0.07863712980015825,691,gdppc_growth_5y,summary_asymmetric
3,d_efw_summary_pos,-0.001028266145041918,0.02113875143451658,-0.048643655621159604,0.9612271988212451,551,gdppc_growth_5y,summary_asymmetric
3,d_efw_summary_neg,-0.06276972472811111,0.04632565333685651,-1.3549668532828174,0.17618154296747401,551,gdppc_growth_5y,summary_asymmetric
0,d_efw_summary,0.03602759336057082,0.014395379418632002,2.5027192624002774,0.0126271428608693,648,pwt_tfp_growth_5y,summary_linear
1,d_efw_summary,0.01009599928132088,0.011665181224092208,0.8654815632413423,0.38726744657760315,542,pwt_tfp_growth_5y,summary_linear
2,d_efw_summary,0.002626760100890761,0.014665695691907604,0.1791091371369572,0.8579639586377521,438,pwt_tfp_growth_5y,summary_linear
3,d_efw_summary,-0.006306305110140887,0.012299807214511372,-0.5127157686423474,0.6086010672187316,340,pwt_tfp_growth_5y,summary_linear
0,d_efw_area1,-0.0017700152339932137,0.007036560620494899,-0.25154551057768393,0.8014908122034754,648,pwt_tfp_growth_5y,area_linear
1,d_efw_area1,0.0039883578100860404,0.007568993756105546,0.526933690078529,0.5985171686147792,542,pwt_tfp_growth_5y,area_linear
2,d_efw_area1,-0.003026402171832422,0.01182045885038568,-0.25603085380511065,0.7980894898777895,438,pwt_tfp_growth_5y,area_linear
3,d_efw_area1,0.0018444719691846291,0.006697849087432999,0.2753827303522506,0.7832487747759749,340,pwt_tfp_growth_5y,area_linear
0,d_efw_area2,0.007097515309901046,0.006733415998773019,1.0540734912553116,0.29233412992888796,648,pwt_tfp_growth_5y,area_linear
1,d_efw_area2,0.008879935950893005,0.007432808397049654,1.1946945860218552,0.23287899350157737,542,pwt_tfp_growth_5y,area_linear
2,d_efw_area2,0.008419192675347633,0.007737653493433835,1.088080861011953,0.27736812801378763,438,pwt_tfp_growth_5y,area_linear
3,d_efw_area2,0.006170679295761737,0.008606411863490891,0.7169862880881018,0.47404920990074695,340,pwt_tfp_growth_5y,area_linear
0,d_efw_area3,0.008113993137595477,0.004298267494868216,1.887735732427758,0.05961268228748917,648,pwt_tfp_growth_5y,area_linear
1,d_efw_area3,-0.001579053643887165,0.0034033421075797643,-0.4639714709756538,0.6429079924737273,542,pwt_tfp_growth_5y,area_linear
2,d_efw_area3,0.004388382065882181,0.004366629150656262,1.0049816264389317,0.31565565018511643,438,pwt_tfp_growth_5y,area_linear
3,d_efw_area3,-0.00888537046738474,0.005217178385706109,-1.7030988420347386,0.0897874095406117,340,pwt_tfp_growth_5y,area_linear
0,d_efw_area4,0.010171353358660344,0.006259435451491471,1.6249633752891817,0.10480176821256793,619,pwt_tfp_growth_5y,area_linear
1,d_efw_area4,0.0030588530187392656,0.003663372258738653,0.834982852600535,0.40422578686899113,516,pwt_tfp_growth_5y,area_linear
2,d_efw_area4,0.00019092693585822073,0.004201841185941359,0.04543887486681542,0.9637863789259526,417,pwt_tfp_growth_5y,area_linear
3,d_efw_area4,0.007582260197806103,0.003965815000187614,1.911904664601703,0.05706936969146548,330,pwt_tfp_growth_5y,area_linear
