Category,Country
Reformer,Tajikistan
Reformer,Iraq
Reformer,Serbia
Reformer,Montenegro
Reformer,Seychelles
Reformer,Armenia
Reformer,Belarus
Reformer,Lesotho
Reformer,Romania
Reformer,Lao PDR
Reversal,Argentina
Reversal,"Venezuela, RB"
Reversal,"Egypt, Arab Rep."
Reversal,"Iran, Islamic Rep."
Reversal,United Kingdom
Reversal,El Salvador
Reversal,Chad
Reversal,Sri Lanka
Reversal,United States
Reversal,Trinidad and Tobago
Volatile,Iraq
Volatile,Serbia
Volatile,Timor-Leste
Volatile,Tajikistan
Volatile,Montenegro
Volatile,Myanmar
Volatile,"Gambia, The"
Volatile,Qatar
Volatile,Belarus
Volatile,Lao PDR
