period,spearman,p_value,n_countries
1970-1975,0.8630696002154608,3.1268895430929535e-30,98
1975-1980,0.8847135479275093,1.3681365234372594e-36,107
1980-1985,0.9026831948637846,2.375354363431455e-41,110
1985-1990,0.9118957454240961,3.957938236378349e-45,114
1990-1995,0.890115304354312,4.701102644928271e-41,117
1995-2000,0.9236690206892944,3.0677135751804082e-52,123
2000-2005,0.9198639348195413,2.7173153307120323e-65,158
2005-2010,0.9323677784068292,3.731816801507985e-72,161
2010-2015,0.9616611163942014,8.261090445673302e-92,162
2015-2020,0.9580221787436319,1.0106161489226427e-88,162
