year,mean,median,std,n_obs,n_countries
1970,6.012142857142858,5.835,1.2443250561492465,98,98
1975,5.45841121495327,5.27,1.311606496969234,107,107
1980,5.4662727272727265,5.3,1.3800032303451817,110,110
1985,5.572456140350877,5.46,1.4705026299823374,114,114
1990,5.806752136752136,5.68,1.4806672709776947,117,117
1995,6.200975609756098,6.24,1.330568973966478,123,123
2000,6.196582278481013,6.13,1.3242393668934798,158,158
2005,6.409254658385094,6.38,1.2263184500747715,161,161
2010,6.519506172839507,6.555,1.0798353926024735,162,162
2015,6.669197530864198,6.755,1.0862362956243699,162,162
2020,6.58030303030303,6.62,0.9875316754675448,165,165
