Region,Decade,Reform,Reversal
East Asia & Pacific,1970,0,2
East Asia & Pacific,1980,2,0
East Asia & Pacific,1990,1,0
East Asia & Pacific,2000,1,0
East Asia & Pacific,2010,1,0
Europe & Central Asia,1970,1,1
Europe & Central Asia,1980,2,1
Europe & Central Asia,1990,9,0
Europe & Central Asia,2000,7,1
Europe & Central Asia,2010,1,1
Latin America & the Caribbean,1970,1,12
Latin America & the Caribbean,1980,5,2
Latin America & the Caribbean,1990,11,0
Latin America & the Caribbean,2000,1,3
Middle East & North Africa,1970,1,3
Middle East & North Africa,1980,2,0
Middle East & North Africa,1990,2,0
Middle East & North Africa,2000,5,0
Middle East & North Africa,2010,1,1
South Asia,1970,1,0
Sub-Saharan Africa,1970,0,7
Sub-Saharan Africa,1980,4,0
Sub-Saharan Africa,1990,9,1
Sub-Saharan Africa,2000,5,2
Sub-Saharan Africa,2010,1,2
