Region,Period,EFW_Gap_Δ,Size of Gov,Legal System,Sound Money,Trade Freedom,Regulation
Europe & Central Asia,1990→2000,-0.38162924217865335,0.6106908932736053,-0.0973443231855935,-1.168425152425006,-0.4960604625927587,0.3327225505190352
Europe & Central Asia,2000→2010,0.13577175781541762,-0.19377807887651421,-0.013577896606388862,1.0588981920406235,-0.3468622229598832,-0.19920097969558537
Europe & Central Asia,2010→2020,0.02855096862343487,-0.21160402820549784,-0.02822822299310701,-0.023659783457075534,0.4303722303860269,-0.009281807209665871
Middle East & North Africa,1990→2000,0.05231271541398108,-0.1906587442055061,0.6507985248545562,-0.5593248372639934,0.2663159234780341,-0.23148251327538727
Middle East & North Africa,2000→2010,0.08957610564150631,0.10194629802856703,-0.013058976598798289,-0.18666126747921297,0.23553143328256443,0.4061520586046292
Middle East & North Africa,2010→2020,-0.10329685746352357,0.3099800509468036,0.09226525071889036,-0.021120446931195858,-0.7680074131394123,-0.25105963096741135
Sub-Saharan Africa,1990→2000,0.0252519600773633,-0.07090799980379536,-0.14254054474007516,0.5734840125022931,-0.23112221305074154,-0.5588828747006396
Sub-Saharan Africa,2000→2010,0.1318380104034098,0.38048641308066244,0.15629122985828126,-0.4043622787654648,0.4554153091780657,0.18233502544900837
Sub-Saharan Africa,2010→2020,0.09971180054513606,0.19414316691728128,0.019116479623430216,0.029272691341198254,0.026084126819743148,0.26981863808996387
Latin America & the Caribbean,1990→2000,0.7382698582711242,-0.25873702741113913,-0.1830039591915451,1.8273499740725692,0.6681491160462336,0.5952606016107831
Latin America & the Caribbean,2000→2010,-0.33698543282003435,-0.4309397400092312,-0.08202599877917827,-0.4250931412549175,-0.04826624125862544,-0.2678946722965625
Latin America & the Caribbean,2010→2020,-0.19618147284813858,-0.23731217999914378,-0.056398413936012304,-0.21839350579382266,-0.1695661442345724,-0.23234025731916041
East Asia & Pacific,1990→2000,-0.42428628207975283,-0.38307785684944307,0.08222472549846671,-0.7249177320733029,-1.063086348375741,-0.035760587022133805
East Asia & Pacific,2000→2010,-0.13189632543619023,-0.02815051840466598,-0.06862707352355812,-0.34557562590164004,0.06079566542881576,0.07078897005486162
East Asia & Pacific,2010→2020,0.16348885682219194,0.024235200266883083,0.11865034201495561,0.3452095943640128,0.22055635560390474,-0.006998486272031812
South Asia,1990→2000,0.7796698582711237,0.5203589865953226,-0.029786932294031843,0.2789305966712705,2.0134765289814918,0.3586708442736368
South Asia,2000→2010,-0.27492389435849507,0.48271512280385664,-0.14628277341736506,-1.6053789824622076,0.04475654103686466,-0.0931999634153966
South Asia,2010→2020,0.09720314253647722,0.24386412178516892,0.24177288097434246,-0.02389662174345375,0.08009348046990894,0.11964035564499653
North America,1990→2000,-0.43983014172887724,-0.2792960797280175,-0.41370552816040895,-0.48336100749181554,-1.5214241276668377,-0.29365014705243286
North America,2000→2010,-0.7779238943584925,-0.34459448667809056,-0.6866052494189114,-1.1771445769187068,-0.7881961431006417,-0.7219981794105124
North America,2010→2020,-0.2007968574635246,-0.5016055871077061,-0.22067190137806492,-0.0755140936275982,0.14919336626028468,-0.2915957851063009
