Year,Europe & Central Asia,Middle East & North Africa,Sub-Saharan Africa,Latin America & the Caribbean,East Asia & Pacific,South Asia,North America
1970,0.7921428571428573,-0.6539610389610395,-0.7863095238095248,0.14568322981366322,0.4207142857142854,-1.345476190476191,2.112857142857142
1975,0.9450670459162946,-0.47841121495327066,-0.8843371408791958,-0.012324258431530843,0.608017356475302,-1.17341121495327,2.6515887850467292
1980,1.0462272727272737,-0.5869870129870121,-0.8947912457912448,-0.2000227272727262,0.6570606060606066,-0.901272727272727,2.9087272727272735
1985,0.9956207827260464,-0.45817042606516356,-0.8224561403508774,-0.44953947368421066,0.8608771929824561,-0.8974561403508776,2.9225438596491236
1990,0.8563513115237251,-0.5488949938949936,-0.9277866195107567,-0.20925213675213605,0.8519145299145299,-0.8642521367521363,2.728247863247864
1995,0.493142037302726,-0.4952613240418122,-1.0630445752733388,0.2994243902439022,0.7776910569105695,-0.6159756097560978,2.1540243902439027
2000,0.47472206934507444,-0.49658227848101255,-0.9025346594333934,0.5290177215189882,0.42762824783477704,-0.08458227848101263,2.2884177215189867
2005,0.6648757763975155,-0.6272546583850938,-0.8530641821946174,0.34612995699952087,0.29974534161490674,-0.2092546583850936,1.9207453416149063
2010,0.6104938271604938,-0.40700617283950713,-0.7706966490299836,0.19203228869895472,0.2957319223985886,-0.3595061728395068,1.5104938271604942
2015,0.6477589908749319,-0.6141975308641987,-0.7199118165784837,0.07580246913580169,0.42794532627865856,-0.26319753086419784,1.5408024691358024
2020,0.6390447957839269,-0.5103030303030298,-0.6709848484848484,-0.004149184149184748,0.45922077922077964,-0.2623030303030305,1.3096969696969696
