anchor,cohort,outcome,event_time,att,se,ci_low,ci_high,spec_id
EU,2004,efw_overall,-2,0.14993643153436853,0.27130102649484505,-0.3818135803955278,0.6816864434642649,sdid_base
EU,2004,efw_overall,-1,0.19052982557155929,0.27130102649484505,-0.34122018635833706,0.7222798375014556,sdid_base
EU,2004,efw_overall,0,0.5776504130991071,0.27130102649484505,0.04590040116921079,1.1094004250290035,sdid_base
EU,2004,efw_delta5,-2,0.3546119176450434,0.19126607803075307,-0.02026959529523259,0.7294934305853193,sdid_base
EU,2004,efw_delta5,-1,0.3904947095271436,0.19126607803075307,0.015613196586867606,0.7653762224674197,sdid_base
EU,2004,efw_delta5,0,-0.1200831766272808,0.19126607803075307,-0.4949646895675568,0.2547983363129952,sdid_base
EU,2004,reform_event_03,-2,0.056250363014715615,0.23838388344682412,-0.4109820485410597,0.5234827745704909,sdid_base
EU,2004,reform_event_03,-1,0.0659322966709101,0.23838388344682412,-0.40130011488486517,0.5331647082266854,sdid_base
EU,2004,reform_event_03,0,0.46388011197578005,0.23838388344682412,-0.0033522995799952215,0.9311125235315554,sdid_base
EU,2004,reversal_event_03,-2,-0.10076497405032521,0.028712400453699483,-0.1570412789395762,-0.044488669161074225,sdid_base
EU,2004,reversal_event_03,-1,-0.09865247025047708,0.028712400453699483,-0.15492877513972805,-0.04237616536122609,sdid_base
EU,2004,reversal_event_03,0,-0.06991067349620936,0.028712400453699483,-0.12618697838546034,-0.013634368606958373,sdid_base
EU,2004,hazard_rev_03,-2,-0.09076999007594125,0.09811002792933385,-0.28306564481743557,0.1015256646655531,sdid_base
EU,2004,hazard_rev_03,-1,-0.08815571406845077,0.09811002792933385,-0.28045136880994515,0.10413994067304358,sdid_base
EU,2004,hazard_rev_03,0,0.007502342200693582,0.09811002792933385,-0.18479331254080078,0.19979799694218792,sdid_base
