Country,Period,EFW_Change,Driver,Region
Nicaragua,1990→1995,2.8499999999999996,Sound Money,Latin America & the Caribbean
Uganda,1990→1995,2.33,Sound Money,Sub-Saharan Africa
Argentina,1990→1995,2.1399999999999997,Sound Money,Latin America & the Caribbean
Peru,1990→1995,2.0999999999999996,Sound Money,Latin America & the Caribbean
El Salvador,1990→1995,2.0200000000000005,Sound Money,Latin America & the Caribbean
Qatar,2005→2010,1.96,Size of Gov,Middle East & North Africa
Armenia,2000→2005,1.8800000000000008,Sound Money,Europe & Central Asia
Belarus,2015→2020,1.88,Sound Money,Europe & Central Asia
Romania,2000→2005,1.79,Sound Money,Europe & Central Asia
"Yemen, Rep.",2005→2010,1.75,Sound Money,Middle East & North Africa
