Country,Period,EFW_Change,Driver,Region
Argentina,1970→1975,-2.4299999999999997,Sound Money,Latin America & the Caribbean
Botswana,1970→1975,-2.1399999999999997,Sound Money,Sub-Saharan Africa
Trinidad and Tobago,1970→1975,-2.04,Sound Money,Latin America & the Caribbean
Zimbabwe,1995→2000,-1.8600000000000003,Trade Freedom,Sub-Saharan Africa
Papua New Guinea,1970→1975,-1.8399999999999999,Sound Money,East Asia & Pacific
Nicaragua,1975→1980,-1.8100000000000005,Trade Freedom,Latin America & the Caribbean
Rwanda,1970→1975,-1.7700000000000005,Sound Money,Sub-Saharan Africa
Nicaragua,1980→1985,-1.7499999999999996,Sound Money,Latin America & the Caribbean
Kuwait,1970→1975,-1.7299999999999995,Sound Money,Middle East & North Africa
Barbados,1970→1975,-1.6800000000000006,Sound Money,Latin America & the Caribbean
