iso3,Country,year,avh,ccon,cda,cgdpe,cgdpo,ck,cn,csh_c,csh_g,csh_i,csh_m,csh_r,csh_x,ctfp,cwtfp,delta,emp,hc,irr,labsh,pl_c,pl_con,pl_da,pl_g,pl_gdpo,pl_i,pl_k,pl_m,pl_n,pl_x,pop,rconna,rdana,rgdpe,rgdpna,rgdpo,rkna,rnna,rtfpna,rwtfpna,xr
ARG,Argentina,1950,2034,48066.12890625,52783.625,54082.2265625,55543.6484375,,62541.8984375,0.78659725189209,0.078778550028801,0.0849331691861153,-0.0602986738085747,-0.0128422630950809,0.122831925749779,,,0.0290971305221319,6.49283885955811,1.81650292873383,0.291931331157684,0.467761695384979,0.175686623709195,0.182337328791618,0.200313374400139,0.248744117627258,0.195042878389359,0.383469450775584,,0.0982488840818405,0.277960419654846,0.106750398874283,17.0902249666788,181478.4375,196450,56066.51171875,237924.28125,56114.11328125,,443304.28125,,,9.16046963658909e-13
ARG,Argentina,1951,2037.87,49158.69921875,56314.78515625,56673.49609375,56863.71484375,,68654.9453125,0.786793231964111,0.077707089483738,0.125846296548843,-0.0745384991168976,-0.0164685640484095,0.10066045075655,,,0.0295936278998852,6.59454250335693,1.83076894283295,0.337860614061356,0.467761695384979,0.194564952142917,0.199830129742622,0.216740667819977,0.253140592631143,0.216015636920929,0.332907541748335,,0.1083158031106,0.251998603343964,0.12913128733635,17.4559449452828,186048.453125,215074.015625,58718.82421875,251976.5,57494.43359375,,486740.375,,,1.15547257808428e-12
ARG,Argentina,1952,2041.74,46677.96875,52773.78125,51522.3359375,52103.65625,,73443.4140625,0.8119016289711,0.0839658305048943,0.116993941366673,-0.0564496070146561,-0.0331482328474522,0.0767364278435707,,,0.0302030667662621,6.71951961517334,1.84514713287354,0.293542504310608,0.467761695384979,0.208169265040799,0.213830843567848,0.228092044591904,0.268575086376825,0.225547194480896,0.337295434861257,,0.122650265693665,0.255575478076935,0.116263531148434,17.8142998526244,175929.75,199532.171875,53147.3828125,236968.40625,52466.0546875,,518949.9375,,,1.38805739101999e-12
ARG,Argentina,1953,2045.62,46782.1015625,53194.28125,53651.85546875,55558.14453125,,78126.828125,0.764896988868713,0.0771416574716568,0.115413844585419,-0.0404159240424633,-0.0221613049507141,0.105124786496162,,,0.03040293417871,6.81135511398315,1.85963821411133,0.290793180465698,0.467761695384979,0.208496631602898,0.215599089860916,0.23109182715416,0.286023410857808,0.223162695765495,0.34412405346338,,0.0959629714488983,0.255038589239121,0.102043159306049,18.1669185573674,175238.515625,201286.75,55202.6796875,246968.125,55835.26953125,,553483.375,,,1.49782643876365e-12
ARG,Argentina,1954,2049.51,50358.12109375,56451.83203125,56045.953125,58051.23828125,0.0061347945593297,82708.859375,0.789762496948242,0.0777145847678185,0.10497123003006,-0.0501002967357636,-0.0291994977742434,0.106851451098919,0.716151475906372,0.696135759353638,0.030435947701335,6.93241500854492,1.87424302101135,0.278751939535141,0.467761695384979,0.207494624942849,0.215334638953209,0.23054401576519,0.295007553323243,0.222580268979073,0.356233646701612,7.91628789901733,0.0871932879090309,0.261339664459229,0.0866226106882095,18.5154356301661,188575.46875,212507.765625,57792.71875,255009.546875,58486.09375,0.111320875585079,584683.375,1.30267095565796,1.09507668018341,1.6031080777126998e-12
AUS,Australia,1950,2029.52,88741.4921875,131575.28125,136059.921875,125668.3046875,,474967.53125,0.62808620929718,0.0780702978372574,0.340848058462143,-0.126073867082596,-0.0243375916033983,0.10340690612793,,,0.0211917571723461,3.4272837638855,2.66730189323425,0.0531721264123917,0.679780185222626,0.063755671233187,0.0669524297118187,0.0707766562700272,0.0926707919989461,0.0766292363405228,0.0786995572181239,,0.0737587213516235,0.0638878270983696,0.132387399673462,8.22766649539222,95620.8984375,131993.578125,135539.390625,148707.890625,128189.4453125,,712402.25,,,0.893199965013041
AUS,Australia,1951,2010.76,91414.7109375,143828.828125,128367.828125,121502.015625,,510098.03125,0.655750870704651,0.0966211035847664,0.431384742259979,-0.191764011979103,-0.0782058238983154,0.0862131267786026,,,0.021809184923768,3.5212619304657,2.67434358596802,0.0405534580349922,0.679780185222626,0.0758003764965316,0.0799613073468208,0.0822271406650543,0.108200854187018,0.0868736058473587,0.0861789343837904,,0.0720328763127327,0.0725795179605484,0.117662116885185,8.46976245504914,99407.4453125,143947.828125,126539,152490.171875,124063.34375,,768188.9375,,,0.893099948420815
AUS,Australia,1952,1992.16,87672.65625,118964.078125,126124.1015625,121092.25,,520847.25,0.614180743694305,0.109834671020508,0.258409768342972,-0.0955218002200127,0.0007555371848866,0.112341053783894,,,0.0221589431166649,3.58896613121033,2.68140339851379,0.0388283133506775,0.679780185222626,0.0834266101187692,0.0868406146764755,0.0876660868525505,0.105931288440578,0.0913089513778687,0.0899789146495196,,0.0752095133066177,0.075761966407299,0.109476827085018,8.64950741082625,95502.1171875,118536.6015625,123845.3984375,146248.40625,122592.40625,,784147.5625,,,0.892899974841007
AUS,Australia,1953,1973.74,96372.3515625,137096.390625,139507.28125,136348.328125,,540619.9375,0.611460208892822,0.0953496769070625,0.298676520586014,-0.0992565453052521,-0.0150919668376446,0.108862094581127,,,0.0223267413675785,3.65064978599548,2.6884822845459,0.0459902994334698,0.679780185222626,0.0831182419351307,0.0860011056065559,0.086481474339962,0.104488413791056,0.0884851068258286,0.087618253173459,,0.079337976872921,0.0726227834820747,0.0986512675881386,8.81542020996216,103915.78125,136437.609375,137112.421875,162114.296875,137916.9375,,815786.6875,,,0.892999931828589
AUS,Australia,1954,1955.48,103958.7578125,151948.984375,147890.453125,145695.421875,0.0593916103243828,568088.5625,0.61980128288269,0.093733549118042,0.329387336969376,-0.114034496247768,-0.0328164547681809,0.103928811848164,0.819580972194672,0.854410231113434,0.0226085837930441,3.7282726764679,2.69557976722717,0.0455434247851372,0.679780185222626,0.0847663382497686,0.0877853408455849,0.0888176709413528,0.107748107024367,0.0901557803153992,0.0910539475482406,0.500126540660858,0.0813870504498482,0.0745007991790772,0.0939623638987541,9.02052411958149,112016.2734375,151883.5,146017.546875,175074.5625,148030.171875,0.0546420477330685,858365.4375,0.723501682281494,0.671810448169708,0.893099948420815
AUT,Austria,1950,1948.43,38672.4609375,47470.2421875,44486.578125,45170.26171875,,133347.71875,0.672780334949493,0.183368414640427,0.194769307971001,-0.093998096883297,-0.0100988419726491,0.0531789138913155,,,0.0305945314466953,2.91568040847778,2.55264043807983,0.0838264524936676,0.569767951965332,0.0599548930299111,0.0559082627296448,0.0628809034824371,0.0410611388196723,0.0619291514158249,0.0935305824675466,,0.083239883184433,0.071287713944912,0.080789178609848,6.93438787296552,55087.953125,73690.5703125,44771.1640625,67078.9296875,46444.0546875,,303119.65625,,,1.44764279272572
AUT,Austria,1951,1945.95,40075.15625,50914.484375,46439.5078125,47417.44140625,,140334.640625,0.659670054912567,0.185486391186714,0.228593721985817,-0.11075397580862,-0.0216592997312546,0.0586631037294865,,,0.0320634357631207,2.97085547447205,2.53703594207764,0.0839192867279053,0.569767951965332,0.070320753205518,0.0663561597466469,0.074651800096035,0.0522563627721046,0.0731121823191643,0.10532241084605,,0.0993584543466568,0.0824733600020409,0.0944836363196373,6.93473878907264,57087.63671875,79476.625,46406.0859375,71235.234375,48772.80078125,,316731.5625,,,1.55301820109014
AUT,Austria,1952,1943.48,41122.58984375,49881.484375,48970.890625,49203.33984375,,143628.234375,0.651782751083374,0.183985501527786,0.178014248609543,-0.0812559574842453,0.0115397535264492,0.0559336729347706,,,0.0330563932657242,2.90400242805481,2.52152681350708,0.0892547965049744,0.569767951965332,0.0795140371427845,0.0752889737486839,0.0820945650339127,0.0603213530471971,0.0817067250609398,0.114046481539085,,0.104921899735928,0.0892809554934502,0.108402527868748,6.92706059207647,58222.83984375,76093.390625,48667.28515625,70958.046875,50151.50390625,,324077.9375,,,1.55301820109014
AUT,Austria,1953,1941,44112.6953125,50767.73828125,51555.46484375,52122.62890625,,144183.671875,0.667019844055176,0.179305344820023,0.127680510282516,-0.0737440809607506,0.0328540168702602,0.066884309053421,,,0.0330794081091881,2.8726761341095,2.50611257553101,0.0786114484071732,0.569767951965332,0.0662946973288165,0.0636886805295944,0.070207379758358,0.0539942405104683,0.0694434344768524,0.113416347731458,,0.101757228374481,0.087421216070652,0.0939463600516319,6.93177125938411,62201.55078125,75522.6953125,51106.4609375,73289.2265625,52843.46875,,326184.8125,,,1.77394400744573
AUT,Austria,1954,1938.53,46749.328125,55491.27734375,54809.6875,55646.2265625,0.0124352369457483,147503.3125,0.662516415119171,0.1776003241539,0.157098680734634,-0.0935099646449089,0.0221311300992966,0.0741633996367455,0.680975198745728,0.678801715373993,0.0329442732036114,2.95665597915649,2.49079251289368,0.0896084830164909,0.569767951965332,0.064988352622431,0.062272921204567,0.0695482045412064,0.0521433336338645,0.0685026794672012,0.10845423327757,0.931342244148254,0.0975049957633019,0.0824766159057617,0.0910122692584992,6.9394961816228,65930.953125,84340.859375,54435.078125,79337.4609375,56539.22265625,0.077363058924675,333836.09375,0.508814811706543,0.526430666446686,1.88949369018117
